changed,character,displayName,firstActiveSprite,lastActiveSprite,moveKey,newActive,newRecovery,newStartup,newTotal,oldActive,oldFirstActiveSprite,oldLastActiveSprite,oldRecovery,oldStartup,oldTotal,sheet,spriteCount,timingSource
False,kiro,Naruto,1,1,cmd:1+2,3,20,9,32,3,1,1,20,9,32,tmp/frame-timing-audit/sheets/kiro__cmd_1plus2.png,5,reference:kiro
False,kiro,Naruto,0,1,cmd:1+3,7,13,6,26,7,0,1,13,6,26,tmp/frame-timing-audit/sheets/kiro__cmd_1plus3.png,4,reference:kiro
False,kiro,Naruto,3,4,cmd:2+3,5,6,13,24,5,3,4,6,13,24,tmp/frame-timing-audit/sheets/kiro__cmd_2plus3.png,6,reference:kiro
False,kiro,Naruto,2,3,cmd:2+4,7,3,13,23,7,2,3,3,13,23,tmp/frame-timing-audit/sheets/kiro__cmd_2plus4.png,4,reference:kiro
False,kiro,Naruto,3,5,cmd:3+4,6,10,10,26,6,3,5,10,10,26,tmp/frame-timing-audit/sheets/kiro__cmd_3plus4.png,9,reference:kiro
False,kiro,Naruto,1,2,cmd:O+2,6,25,15,46,6,1,2,25,15,46,tmp/frame-timing-audit/sheets/kiro__cmd_Oplus2.png,6,reference:kiro
False,kiro,Naruto,0,0,cmd:WS+4,3,22,13,38,3,0,0,22,13,38,tmp/frame-timing-audit/sheets/kiro__cmd_WSplus4.png,2,reference:kiro
False,kiro,Naruto,1,2,cmd:d/f+2,3,24,15,42,3,1,2,24,15,42,tmp/frame-timing-audit/sheets/kiro__cmd_d_fplus2.png,5,reference:kiro
False,kiro,Naruto,2,2,cmd:f+1,3,24,20,47,3,2,2,24,20,47,tmp/frame-timing-audit/sheets/kiro__cmd_fplus1.png,5,reference:kiro
False,kiro,Naruto,1,1,cmd:qcf+4,4,25,18,47,4,1,1,25,18,47,tmp/frame-timing-audit/sheets/kiro__cmd_qcfplus4.png,4,reference:kiro
False,kiro,Naruto,0,1,jableft,2,18,4,24,2,0,1,18,4,24,tmp/frame-timing-audit/sheets/kiro__jableft.png,5,reference:kiro
False,kiro,Naruto,1,2,jabright,5,9,9,23,5,1,2,9,9,23,tmp/frame-timing-audit/sheets/kiro__jabright.png,5,reference:kiro
False,kiro,Naruto,2,3,kickleft,4,5,10,19,4,2,3,5,10,19,tmp/frame-timing-audit/sheets/kiro__kickleft.png,5,reference:kiro
False,kiro,Naruto,1,2,kickright,6,7,12,25,6,1,2,7,12,25,tmp/frame-timing-audit/sheets/kiro__kickright.png,4,reference:kiro
False,riven,Sasuke,6,8,cmd:1+2,10,7,23,40,10,6,8,7,23,40,tmp/frame-timing-audit/sheets/riven__cmd_1plus2.png,11,reference:riven
False,riven,Sasuke,3,6,cmd:1+3,15,5,14,34,15,3,6,5,14,34,tmp/frame-timing-audit/sheets/riven__cmd_1plus3.png,8,reference:riven
False,riven,Sasuke,3,4,cmd:1+4,3,11,18,32,3,3,4,11,18,32,tmp/frame-timing-audit/sheets/riven__cmd_1plus4.png,7,reference:riven
False,riven,Sasuke,4,6,cmd:2+3,8,3,23,34,8,4,6,3,23,34,tmp/frame-timing-audit/sheets/riven__cmd_2plus3.png,7,reference:riven
False,riven,Sasuke,1,1,cmd:SS+4,3,23,16,42,3,1,1,23,16,42,tmp/frame-timing-audit/sheets/riven__cmd_SSplus4.png,4,reference:riven
False,riven,Sasuke,1,1,cmd:d/f+1,2,16,13,31,2,1,1,16,13,31,tmp/frame-timing-audit/sheets/riven__cmd_d_fplus1.png,4,reference:riven
False,riven,Sasuke,1,1,cmd:f+2,3,29,17,49,3,1,1,29,17,49,tmp/frame-timing-audit/sheets/riven__cmd_fplus2.png,4,reference:riven
False,riven,Sasuke,2,2,cmd:qcf+3,4,27,22,53,4,2,2,27,22,53,tmp/frame-timing-audit/sheets/riven__cmd_qcfplus3.png,5,reference:riven
False,riven,Sasuke,2,2,jabright,4,16,11,31,4,2,2,16,11,31,tmp/frame-timing-audit/sheets/riven__jabright.png,6,reference:riven
False,riven,Sasuke,0,2,kickleft,8,10,5,23,8,0,2,10,5,23,tmp/frame-timing-audit/sheets/riven__kickleft.png,4,reference:riven
False,riven,Sasuke,2,7,kickright,21,10,9,40,21,2,7,10,9,40,tmp/frame-timing-audit/sheets/riven__kickright.png,10,reference:riven
