character,moveKey,reason
allen-walker,cmd:1+3,no animationFrames sequence
allen-walker,cmd:2+3,no animationFrames sequence
allen-walker,cmd:2+4,no animationFrames sequence
allen-walker,cmd:3+4,no animationFrames sequence
allen-walker,cmd:FC+1,no animationFrames sequence
allen-walker,cmd:FC+2,no animationFrames sequence
allen-walker,cmd:O+2,no animationFrames sequence
allen-walker,cmd:WS+4,no animationFrames sequence
allen-walker,cmd:d/f+2,no animationFrames sequence
allen-walker,cmd:f+1,no animationFrames sequence
allen-walker,cmd:qcf+4,no animationFrames sequence
allen-walker,jabright,no animationFrames sequence
allen-walker,kickleft,no animationFrames sequence
allen-walker,kickright,no animationFrames sequence
allen-walker,neutral:heavy-jab,no animationFrames sequence
allen-walker,neutral:heavy-jab-heavy,no animationFrames sequence
allen-walker,neutral:heavy-jab-special,no animationFrames sequence
allen-walker,neutral:heavy-kick,no animationFrames sequence
allen-walker,neutral:heavy-kick-special,no animationFrames sequence
allen-walker,neutral:heavy-special,no animationFrames sequence
allen-walker,neutral:heavy-special-kick,no animationFrames sequence
allen-walker,neutral:jab-heavy,no animationFrames sequence
allen-walker,neutral:jab-heavy-kick,no animationFrames sequence
allen-walker,neutral:jab-heavy-special,no animationFrames sequence
allen-walker,neutral:jab-jab,no animationFrames sequence
allen-walker,neutral:jab-jab-heavy,no animationFrames sequence
allen-walker,neutral:jab-jab-kick,no animationFrames sequence
allen-walker,neutral:jab-jab-special,no animationFrames sequence
allen-walker,neutral:jab-kick,no animationFrames sequence
allen-walker,neutral:jab-kick-heavy,no animationFrames sequence
allen-walker,neutral:jab-kick-special,no animationFrames sequence
allen-walker,neutral:jab-special,no animationFrames sequence
allen-walker,neutral:jab-special-heavy,no animationFrames sequence
allen-walker,neutral:kick-heavy,no animationFrames sequence
allen-walker,neutral:kick-heavy-special,no animationFrames sequence
allen-walker,neutral:kick-jab,no animationFrames sequence
allen-walker,neutral:kick-jab-special,no animationFrames sequence
allen-walker,neutral:kick-special,no animationFrames sequence
allen-walker,neutral:kick-special-heavy,no animationFrames sequence
allen-walker,neutral:special-heavy,no animationFrames sequence
allen-walker,neutral:special-jab,no animationFrames sequence
allen-walker,neutral:special-jab-heavy,no animationFrames sequence
allen-walker,neutral:special-kick,no animationFrames sequence
anna-kyoyama,cmd:1+2,no animationFrames sequence
anna-kyoyama,cmd:1+3,no animationFrames sequence
anna-kyoyama,cmd:2+4,no animationFrames sequence
anna-kyoyama,cmd:3+4,no animationFrames sequence
anna-kyoyama,cmd:FC+1,no animationFrames sequence
anna-kyoyama,cmd:FC+2,no animationFrames sequence
anna-kyoyama,cmd:O+2,no animationFrames sequence
anna-kyoyama,cmd:WS+4,no animationFrames sequence
anna-kyoyama,cmd:d/f+2,no animationFrames sequence
anna-kyoyama,cmd:f+1,no animationFrames sequence
anna-kyoyama,cmd:qcf+4,no animationFrames sequence
anna-kyoyama,jableft,no animationFrames sequence
anna-kyoyama,kickleft,no animationFrames sequence
anna-kyoyama,kickright,no animationFrames sequence
anna-kyoyama,neutral:heavy-jab,no animationFrames sequence
anna-kyoyama,neutral:heavy-jab-heavy,no animationFrames sequence
anna-kyoyama,neutral:heavy-jab-special,no animationFrames sequence
anna-kyoyama,neutral:heavy-kick,no animationFrames sequence
anna-kyoyama,neutral:heavy-kick-special,no animationFrames sequence
anna-kyoyama,neutral:heavy-special,no animationFrames sequence
anna-kyoyama,neutral:heavy-special-kick,no animationFrames sequence
anna-kyoyama,neutral:jab-heavy,no animationFrames sequence
anna-kyoyama,neutral:jab-heavy-kick,no animationFrames sequence
anna-kyoyama,neutral:jab-heavy-special,no animationFrames sequence
anna-kyoyama,neutral:jab-jab,no animationFrames sequence
anna-kyoyama,neutral:jab-jab-heavy,no animationFrames sequence
anna-kyoyama,neutral:jab-jab-kick,no animationFrames sequence
anna-kyoyama,neutral:jab-jab-special,no animationFrames sequence
anna-kyoyama,neutral:jab-kick,no animationFrames sequence
anna-kyoyama,neutral:jab-kick-heavy,no animationFrames sequence
anna-kyoyama,neutral:jab-kick-special,no animationFrames sequence
anna-kyoyama,neutral:jab-special,no animationFrames sequence
anna-kyoyama,neutral:jab-special-heavy,no animationFrames sequence
anna-kyoyama,neutral:kick-heavy,no animationFrames sequence
anna-kyoyama,neutral:kick-heavy-special,no animationFrames sequence
anna-kyoyama,neutral:kick-jab,no animationFrames sequence
anna-kyoyama,neutral:kick-jab-special,no animationFrames sequence
anna-kyoyama,neutral:kick-special,no animationFrames sequence
anna-kyoyama,neutral:kick-special-heavy,no animationFrames sequence
anna-kyoyama,neutral:special-heavy,no animationFrames sequence
anna-kyoyama,neutral:special-jab,no animationFrames sequence
anna-kyoyama,neutral:special-jab-heavy,no animationFrames sequence
anna-kyoyama,neutral:special-kick,no animationFrames sequence
arale-norimaki,cmd:1+3,no animationFrames sequence
arale-norimaki,cmd:2+3,no animationFrames sequence
arale-norimaki,cmd:2+4,no animationFrames sequence
arale-norimaki,cmd:FC+1,no animationFrames sequence
arale-norimaki,cmd:FC+2,no animationFrames sequence
arale-norimaki,cmd:O+2,no animationFrames sequence
arale-norimaki,cmd:WS+4,no animationFrames sequence
arale-norimaki,cmd:d/f+2,no animationFrames sequence
arale-norimaki,cmd:f+1,no animationFrames sequence
arale-norimaki,cmd:qcf+4,no animationFrames sequence
arale-norimaki,kickleft,no animationFrames sequence
arale-norimaki,kickright,no animationFrames sequence
arale-norimaki,neutral:heavy-jab,no animationFrames sequence
arale-norimaki,neutral:heavy-jab-heavy,no animationFrames sequence
