animationKey,category,character,displayName,firstFrame,frameRefs,hasMoveOverride,lastFrame,uniqueFrames
backflip,non-attack,allen-walker,Allen Walker,45,4,False,48,4
block,non-attack,allen-walker,Allen Walker,15,1,False,15,1
chargeKi,non-attack,allen-walker,Allen Walker,60,4,False,63,4
cmd:1+2,attack,allen-walker,Allen Walker,91,13,True,103,13
cmd:1+3,attack,allen-walker,Allen Walker,,0,True,,0
cmd:2+3,attack,allen-walker,Allen Walker,,0,True,,0
cmd:2+4,attack,allen-walker,Allen Walker,,0,True,,0
cmd:3+4,attack,allen-walker,Allen Walker,,0,True,,0
cmd:FC+1,attack,allen-walker,Allen Walker,,0,True,,0
cmd:FC+2,attack,allen-walker,Allen Walker,,0,True,,0
cmd:O+2,attack,allen-walker,Allen Walker,,0,True,,0
cmd:WS+4,attack,allen-walker,Allen Walker,,0,True,,0
cmd:d/f+2,attack,allen-walker,Allen Walker,,0,True,,0
cmd:f+1,attack,allen-walker,Allen Walker,,0,True,,0
cmd:qcf+4,attack,allen-walker,Allen Walker,,0,True,,0
crouch,non-attack,allen-walker,Allen Walker,22,1,False,22,1
crouchBlock,non-attack,allen-walker,Allen Walker,90,8,False,98,8
getupRollUp,non-attack,allen-walker,Allen Walker,,0,False,,0
getupStand,non-attack,allen-walker,Allen Walker,32,8,False,57,8
hitHeavy,non-attack,allen-walker,Allen Walker,,0,False,,0
hitLight,non-attack,allen-walker,Allen Walker,26,1,False,26,1
idle,non-attack,allen-walker,Allen Walker,0,6,False,3,4
jableft,attack,allen-walker,Allen Walker,74,5,True,78,5
jabright,attack,allen-walker,Allen Walker,,0,True,,0
juggle,non-attack,allen-walker,Allen Walker,28,1,False,28,1
jump,non-attack,allen-walker,Allen Walker,17,5,False,21,5
kickleft,attack,allen-walker,Allen Walker,,0,True,,0
kickright,attack,allen-walker,Allen Walker,,0,True,,0
knockdown,non-attack,allen-walker,Allen Walker,31,4,False,34,4
lose,non-attack,allen-walker,Allen Walker,30,1,False,30,1
sidestepLeft,non-attack,allen-walker,Allen Walker,145,1,False,145,1
sidestepRight,non-attack,allen-walker,Allen Walker,145,1,False,145,1
sprint,non-attack,allen-walker,Allen Walker,12,2,False,13,2
walkBack,non-attack,allen-walker,Allen Walker,14,1,False,14,1
walkForward,non-attack,allen-walker,Allen Walker,4,8,False,11,8
win,non-attack,allen-walker,Allen Walker,78,1,False,78,1
backflip,non-attack,anna-kyoyama,Anna Kyoyama,40,8,False,48,8
block,non-attack,anna-kyoyama,Anna Kyoyama,15,1,False,15,1
chargeKi,non-attack,anna-kyoyama,Anna Kyoyama,16,1,False,16,1
cmd:1+2,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:1+3,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:2+3,attack,anna-kyoyama,Anna Kyoyama,128,5,True,132,5
cmd:2+4,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:3+4,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:FC+1,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:FC+2,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:O+2,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:WS+4,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:d/f+2,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:f+1,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
cmd:qcf+4,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
crouch,non-attack,anna-kyoyama,Anna Kyoyama,22,1,False,22,1
crouchBlock,non-attack,anna-kyoyama,Anna Kyoyama,90,8,False,98,8
getupRollUp,non-attack,anna-kyoyama,Anna Kyoyama,,0,False,,0
getupStand,non-attack,anna-kyoyama,Anna Kyoyama,34,8,False,56,8
hitHeavy,non-attack,anna-kyoyama,Anna Kyoyama,,0,False,,0
hitLight,non-attack,anna-kyoyama,Anna Kyoyama,25,1,False,25,1
idle,non-attack,anna-kyoyama,Anna Kyoyama,0,2,False,1,2
jableft,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
jabright,attack,anna-kyoyama,Anna Kyoyama,84,7,True,90,7
juggle,non-attack,anna-kyoyama,Anna Kyoyama,31,2,False,32,2
jump,non-attack,anna-kyoyama,Anna Kyoyama,17,3,False,19,3
kickleft,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
kickright,attack,anna-kyoyama,Anna Kyoyama,,0,True,,0
knockdown,non-attack,anna-kyoyama,Anna Kyoyama,34,4,False,37,4
lose,non-attack,anna-kyoyama,Anna Kyoyama,33,1,False,33,1
sidestepLeft,non-attack,anna-kyoyama,Anna Kyoyama,135,1,False,135,1
sidestepRight,non-attack,anna-kyoyama,Anna Kyoyama,135,1,False,135,1
sprint,non-attack,anna-kyoyama,Anna Kyoyama,30,10,False,39,10
walkBack,non-attack,anna-kyoyama,Anna Kyoyama,14,1,False,14,1
walkForward,non-attack,anna-kyoyama,Anna Kyoyama,4,6,False,9,6
win,non-attack,anna-kyoyama,Anna Kyoyama,132,1,False,132,1
backflip,non-attack,arale-norimaki,Arale Norimaki,40,8,False,48,8
block,non-attack,arale-norimaki,Arale Norimaki,83,1,False,83,1
chargeKi,non-attack,arale-norimaki,Arale Norimaki,38,1,False,38,1
cmd:1+2,attack,arale-norimaki,Arale Norimaki,102,6,True,107,6
cmd:1+3,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:2+3,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:2+4,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:3+4,attack,arale-norimaki,Arale Norimaki,108,5,True,112,5
cmd:FC+1,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:FC+2,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:O+2,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:WS+4,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:d/f+2,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:f+1,attack,arale-norimaki,Arale Norimaki,,0,True,,0
cmd:qcf+4,attack,arale-norimaki,Arale Norimaki,,0,True,,0
crouch,non-attack,arale-norimaki,Arale Norimaki,62,1,False,62,1
