avgHeight,avgWidth,character,count,displayName,end,preview,rows,sheetIds,start
55.0,38.0,allen-walker,1,Allen Walker,16,,1,main,16
47.0,36.33,allen-walker,3,Allen Walker,25,,2,main,23
47.0,38.0,allen-walker,1,Allen Walker,27,,2,main,27
40.0,33.0,allen-walker,1,Allen Walker,29,,2,main,29
39.0,41.4,allen-walker,5,Allen Walker,39,,3,main,35
61.2,24.6,allen-walker,5,Allen Walker,44,,4,main,40
36.0,27.0,allen-walker,1,Allen Walker,49,,4,main,49
30.0,33.0,allen-walker,3,Allen Walker,52,,5,main,50
54.0,29.0,allen-walker,2,Allen Walker,59,,5,main,58
54.5,25.83,allen-walker,6,Allen Walker,69,,6,main,64
37.75,39.25,allen-walker,4,Allen Walker,73,,7,main,70
49.0,37.0,allen-walker,1,Allen Walker,79,,7,main,79
57.4,48.6,allen-walker,10,Allen Walker,89,tmp/frame-usage-audit/unused-sheets/allen-walker__080-089.png,8,main,80
68.17,56.5,allen-walker,6,Allen Walker,109,,10,main,104
60.1,48.7,allen-walker,10,Allen Walker,119,tmp/frame-usage-audit/unused-sheets/allen-walker__110-119.png,11,main,110
50.7,42.1,allen-walker,10,Allen Walker,129,tmp/frame-usage-audit/unused-sheets/allen-walker__120-129.png,12,main,120
51.8,38.6,allen-walker,10,Allen Walker,139,tmp/frame-usage-audit/unused-sheets/allen-walker__130-139.png,13,main,130
50.2,43.8,allen-walker,5,Allen Walker,144,,14,main,140
59.25,61.25,allen-walker,4,Allen Walker,149,,14,main,146
55.2,56.8,allen-walker,10,Allen Walker,159,tmp/frame-usage-audit/unused-sheets/allen-walker__150-159.png,15,main,150
48.5,52.9,allen-walker,10,Allen Walker,169,tmp/frame-usage-audit/unused-sheets/allen-walker__160-169.png,16,main,160
27.0,50.0,allen-walker,1,Allen Walker,170,,17,main,170
45.3,40.5,allen-walker,10,Allen Walker,180,tmp/frame-usage-audit/unused-sheets/allen-walker__171-180.png,18,main,171
45.6,40.0,allen-walker,10,Allen Walker,190,tmp/frame-usage-audit/unused-sheets/allen-walker__181-190.png,19,main,181
43.1,39.4,allen-walker,10,Allen Walker,200,tmp/frame-usage-audit/unused-sheets/allen-walker__191-200.png,20,main,191
31.9,47.8,allen-walker,10,Allen Walker,210,tmp/frame-usage-audit/unused-sheets/allen-walker__201-210.png,21,main,201
48.7,29.9,allen-walker,10,Allen Walker,220,tmp/frame-usage-audit/unused-sheets/allen-walker__211-220.png,22,main,211
38.6,34.9,allen-walker,10,Allen Walker,230,tmp/frame-usage-audit/unused-sheets/allen-walker__221-230.png,23,main,221
56.2,25.6,allen-walker,10,Allen Walker,240,tmp/frame-usage-audit/unused-sheets/allen-walker__231-240.png,24,main,231
45.9,38.4,allen-walker,10,Allen Walker,250,tmp/frame-usage-audit/unused-sheets/allen-walker__241-250.png,25,main,241
57.4,48.5,allen-walker,10,Allen Walker,260,tmp/frame-usage-audit/unused-sheets/allen-walker__251-260.png,26,main,251
51.8,54.6,allen-walker,10,Allen Walker,270,tmp/frame-usage-audit/unused-sheets/allen-walker__261-270.png,27,main,261
61.7,56.2,allen-walker,10,Allen Walker,280,tmp/frame-usage-audit/unused-sheets/allen-walker__271-280.png,28,main,271
60.1,48.7,allen-walker,10,Allen Walker,290,tmp/frame-usage-audit/unused-sheets/allen-walker__281-290.png,29,main,281
50.7,42.1,allen-walker,10,Allen Walker,300,tmp/frame-usage-audit/unused-sheets/allen-walker__291-300.png,30,main,291
51.8,38.6,allen-walker,10,Allen Walker,310,tmp/frame-usage-audit/unused-sheets/allen-walker__301-310.png,31,main,301
53.4,50.4,allen-walker,10,Allen Walker,320,tmp/frame-usage-audit/unused-sheets/allen-walker__311-320.png,32,main,311
55.2,56.8,allen-walker,10,Allen Walker,330,tmp/frame-usage-audit/unused-sheets/allen-walker__321-330.png,33,main,321
48.5,52.9,allen-walker,10,Allen Walker,340,tmp/frame-usage-audit/unused-sheets/allen-walker__331-340.png,34,main,331
27.0,50.0,allen-walker,1,Allen Walker,341,,35,main,341
52.7,58.8,allen-walker,10,Allen Walker,351,tmp/frame-usage-audit/unused-sheets/allen-walker__342-351.png,36,main,342
47.8,47.7,allen-walker,10,Allen Walker,361,tmp/frame-usage-audit/unused-sheets/allen-walker__352-361.png,37,main,352
39.6,64.0,allen-walker,5,Allen Walker,366,,38,main,362
52.7,58.8,allen-walker,10,Allen Walker,376,tmp/frame-usage-audit/unused-sheets/allen-walker__367-376.png,39,main,367
47.8,47.7,allen-walker,10,Allen Walker,386,tmp/frame-usage-audit/unused-sheets/allen-walker__377-386.png,40,main,377
39.6,64.0,allen-walker,5,Allen Walker,391,,41,main,387
52.6,60.8,allen-walker,10,Allen Walker,401,tmp/frame-usage-audit/unused-sheets/allen-walker__392-401.png,42,main,392
49.0,47.4,allen-walker,10,Allen Walker,411,tmp/frame-usage-audit/unused-sheets/allen-walker__402-411.png,43,main,402
39.83,65.67,allen-walker,6,Allen Walker,417,,44,main,412
52.6,60.8,allen-walker,10,Allen Walker,427,tmp/frame-usage-audit/unused-sheets/allen-walker__418-427.png,45,main,418
49.0,47.4,allen-walker,10,Allen Walker,437,tmp/frame-usage-audit/unused-sheets/allen-walker__428-437.png,46,main,428
39.83,65.67,allen-walker,6,Allen Walker,443,,47,main,438
157.0,45.6,allen-walker,10,Allen Walker,453,tmp/frame-usage-audit/unused-sheets/allen-walker__444-453.png,48,main,444
148.27,55.73,allen-walker,11,Allen Walker,464,tmp/frame-usage-audit/unused-sheets/allen-walker__454-464.png,49,main,454
51.0,42.5,anna-kyoyama,2,Anna Kyoyama,3,,0,main,2
48.75,57.0,anna-kyoyama,4,Anna Kyoyama,13,,1,main,10
56.0,52.0,anna-kyoyama,2,Anna Kyoyama,21,,2,main,20
45.0,45.5,anna-kyoyama,2,Anna Kyoyama,24,,2,main,23
51.75,47.5,anna-kyoyama,4,Anna Kyoyama,29,,2,main,26
58.0,52.0,anna-kyoyama,1,Anna Kyoyama,44,,4,main,44
33.0,45.0,anna-kyoyama,1,Anna Kyoyama,49,,4,main,49
41.0,37.0,anna-kyoyama,3,Anna Kyoyama,52,,5,main,50
50.0,41.67,anna-kyoyama,3,Anna Kyoyama,59,,5,main,57
51.4,38.5,anna-kyoyama,10,Anna Kyoyama,69,tmp/frame-usage-audit/unused-sheets/anna-kyoyama__060-069.png,6,main,60
46.5,43.3,anna-kyoyama,10,Anna Kyoyama,79,tmp/frame-usage-audit/unused-sheets/anna-kyoyama__070-079.png,7,main,70
51.25,64.75,anna-kyoyama,4,Anna Kyoyama,83,,8,main,80
49.0,62.0,anna-kyoyama,1,Anna Kyoyama,94,,9,main,94
47.0,77.0,anna-kyoyama,1,Anna Kyoyama,99,,9,main,99
57.0,79.8,anna-kyoyama,10,Anna Kyoyama,109,tmp/frame-usage-audit/unused-sheets/anna-kyoyama__100-109.png,10,main,100
56.0,55.4,anna-kyoyama,10,Anna Kyoyama,119,tmp/frame-usage-audit/unused-sheets/anna-kyoyama__110-119.png,11,main,110
50.88,45.12,anna-kyoyama,8,Anna Kyoyama,127,,12,main,120
53.5,55.0,anna-kyoyama,2,Anna Kyoyama,134,,13,main,133
59.5,79.25,anna-kyoyama,4,Anna Kyoyama,139,,13,main,136
56.3,63.0,anna-kyoyama,10,Anna Kyoyama,149,tmp/frame-usage-audit/unused-sheets/anna-kyoyama__140-149.png,14,main,140
47.0,57.14,anna-kyoyama,7,Anna Kyoyama,156,,15,main,150
53.8,76.1,anna-kyoyama,10,Anna Kyoyama,166,tmp/frame-usage-audit/unused-sheets/anna-kyoyama__157-166.png,16,main,157
51.0,51.5,anna-kyoyama,4,Anna Kyoyama,170,,17,main,167
50.3,47.4,anna-kyoyama,10,Anna Kyoyama,180,tmp/frame-usage-audit/unused-sheets/anna-kyoyama__171-180.png,18,main,171
52.11,53.78,anna-kyoyama,9,Anna Kyoyama,189,,19,main,181
40.86,36.0,arale-norimaki,7,Arale Norimaki,18,,1,main,12
35.5,32.25,arale-norimaki,4,Arale Norimaki,25,,2,main,22
39.0,33.5,arale-norimaki,2,Arale Norimaki,28,,2,main,27
41.0,28.0,arale-norimaki,1,Arale Norimaki,44,,4,main,44
31.0,40.0,arale-norimaki,1,Arale Norimaki,49,,4,main,49
32.0,30.57,arale-norimaki,7,Arale Norimaki,56,,5,main,50
31.0,38.0,arale-norimaki,1,Arale Norimaki,58,,5,main,58
36.0,28.0,arale-norimaki,1,Arale Norimaki,61,,6,main,61
39.14,28.0,arale-norimaki,7,Arale Norimaki,69,,6,main,63
39.4,28.1,arale-norimaki,10,Arale Norimaki,79,tmp/frame-usage-audit/unused-sheets/arale-norimaki__070-079.png,7,main,70
42.33,27.33,arale-norimaki,3,Arale Norimaki,82,,8,main,80
33.5,31.0,arale-norimaki,2,Arale Norimaki,85,,8,main,84
41.0,29.0,arale-norimaki,1,Arale Norimaki,89,,8,main,89
41.0,29.0,arale-norimaki,1,Arale Norimaki,94,,9,main,94
38.0,31.0,arale-norimaki,1,Arale Norimaki,99,,9,main,99
38.5,28.0,arale-norimaki,2,Arale Norimaki,101,,10,main,100
39.86,37.29,arale-norimaki,7,Arale Norimaki,119,,11,main,113
40.86,27.14,arale-norimaki,7,Arale Norimaki,126,,12,main,120
36.0,31.88,arale-norimaki,8,Arale Norimaki,139,,13,main,132
37.5,34.5,arale-norimaki,6,Arale Norimaki,145,,14,main,140
39.8,28.5,arale-norimaki,10,Arale Norimaki,155,tmp/frame-usage-audit/unused-sheets/arale-norimaki__146-155.png,15,main,146
39.6,32.2,arale-norimaki,5,Arale Norimaki,160,,16,main,156
36.7,29.7,arale-norimaki,10,Arale Norimaki,170,tmp/frame-usage-audit/unused-sheets/arale-norimaki__161-170.png,17,main,161
34.0,30.5,arale-norimaki,2,Arale Norimaki,172,,18,main,171
41.91,40.18,arale-norimaki,11,Arale Norimaki,183,tmp/frame-usage-audit/unused-sheets/arale-norimaki__173-183.png,19,main,173
61.0,66.0,bobobo-bo-bo-bobo,2,Bobobo-bo Bo-bobo,13,,1,main,12
60.0,38.0,bobobo-bo-bo-bobo,1,Bobobo-bo Bo-bobo,16,,1,main,16
58.0,46.0,bobobo-bo-bo-bobo,2,Bobobo-bo Bo-bobo,22,,2,main,21
57.5,60.0,bobobo-bo-bo-bobo,2,Bobobo-bo Bo-bobo,26,,2,main,25
39.0,49.0,bobobo-bo-bo-bobo,1,Bobobo-bo Bo-bobo,44,,4,main,44
60.83,43.17,bobobo-bo-bo-bobo,6,Bobobo-bo Bo-bobo,59,,5,main,54
63.0,33.67,bobobo-bo-bo-bobo,3,Bobobo-bo Bo-bobo,67,,6,main,65
60.62,41.0,bobobo-bo-bo-bobo,8,Bobobo-bo Bo-bobo,79,,7,main,72
59.57,53.43,bobobo-bo-bo-bobo,7,Bobobo-bo Bo-bobo,86,,8,main,80
64.0,32.0,bobobo-bo-bo-bobo,2,Bobobo-bo Bo-bobo,89,,8,main,88
62.0,96.0,bobobo-bo-bo-bobo,1,Bobobo-bo Bo-bobo,94,,9,main,94
60.83,43.17,bobobo-bo-bo-bobo,6,Bobobo-bo Bo-bobo,109,,10,main,104
59.4,39.4,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,119,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__110-119.png,11,main,110
57.0,63.67,bobobo-bo-bo-bobo,3,Bobobo-bo Bo-bobo,122,,12,main,120
59.8,57.2,bobobo-bo-bo-bobo,5,Bobobo-bo Bo-bobo,139,,13,main,135
55.14,51.14,bobobo-bo-bo-bobo,7,Bobobo-bo Bo-bobo,146,,14,main,140
60.9,42.0,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,156,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__147-156.png,15,main,147
60.75,50.0,bobobo-bo-bo-bobo,4,Bobobo-bo Bo-bobo,160,,16,main,157
82.8,58.2,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,170,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__161-170.png,17,main,161
68.4,67.6,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,180,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__171-180.png,18,main,171
65.67,62.0,bobobo-bo-bo-bobo,3,Bobobo-bo Bo-bobo,183,,19,main,181
51.1,41.0,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,193,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__184-193.png,20,main,184
53.3,44.5,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,203,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__194-203.png,21,main,194
54.1,43.9,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,213,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__204-213.png,22,main,204
51.67,42.44,bobobo-bo-bo-bobo,9,Bobobo-bo Bo-bobo,222,,23,main,214
60.9,46.2,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,232,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__223-232.png,24,main,223
62.7,53.2,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,242,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__233-242.png,25,main,233
53.5,56.0,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,252,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__243-252.png,26,main,243
51.1,60.0,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,262,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__253-262.png,27,main,253
57.3,49.6,bobobo-bo-bo-bobo,10,Bobobo-bo Bo-bobo,272,tmp/frame-usage-audit/unused-sheets/bobobo-bo-bo-bobo__263-272.png,28,main,263
