character,displayName,unplayable,key,pos,frame,src,reason,fill,opaque,colors16,w,h,aspect,alpha
cygnus-hyoga,"Cygnus Hyōga",true,kickright,0,28,/characters/cygnus-hyoga/frames/frame-028.png,sparse-monochrome-scrap,0.11444444444444445,0.11331133113311331,1,9,100,0.09,103
cygnus-hyoga,"Cygnus Hyōga",true,kickright,1,29,/characters/cygnus-hyoga/frames/frame-029.png,sparse-monochrome-scrap,0.10612244897959183,0.104,1,10,98,0.10204081632653061,104
cygnus-hyoga,"Cygnus Hyōga",true,kickright,2,30,/characters/cygnus-hyoga/frames/frame-030.png,sparse-monochrome-scrap,0.11621315192743764,0.11388888888888889,1,18,98,0.1836734693877551,205
cygnus-hyoga,"Cygnus Hyōga",true,kickright,3,31,/characters/cygnus-hyoga/frames/frame-031.png,opaque-panel-candidate,1,0.9448356807511737,15,46,140,0.32857142857142857,6440
cygnus-hyoga,"Cygnus Hyōga",true,kickright,4,32,/characters/cygnus-hyoga/frames/frame-032.png,opaque-panel-candidate,1,0.9448356807511737,7,46,140,0.32857142857142857,6440
cygnus-hyoga,"Cygnus Hyōga",true,kickright,5,33,/characters/cygnus-hyoga/frames/frame-033.png,opaque-panel-candidate,0.9361702127659575,0.8975694444444444,19,94,94,1,8272
cygnus-hyoga,"Cygnus Hyōga",true,kickright,6,34,/characters/cygnus-hyoga/frames/frame-034.png,opaque-panel-candidate,1,0.9166666666666666,14,46,44,1.0454545454545454,2024
sven-vollfied,"Sven Vollfied",true,kickright,2,32,/characters/sven-vollfied/frames/frame-032.png,opaque-panel-candidate,0.925531914893617,0.8873697916666666,20,94,94,1,8178
sven-vollfied,"Sven Vollfied",true,kickright,3,33,/characters/sven-vollfied/frames/frame-033.png,opaque-panel-candidate,0.950098814229249,0.8709239130434783,14,46,44,1.0454545454545454,1923
yasutora-sado,"Yasutora Sado",true,kickright,2,23,/characters/yasutora-sado/frames/frame-023.png,opaque-panel-candidate,0.9361702127659575,0.8975694444444444,19,94,94,1,8272
yasutora-sado,"Yasutora Sado",true,kickright,4,25,/characters/yasutora-sado/frames/frame-025.png,sparse-monochrome-scrap,0.17051630434782608,0.16789297658862876,1,92,64,1.4375,1004
