character,displayName,key,pos,frame,src,reason,overlap,fill,opaque,colors16,colors32,w,h,aspect,alpha
arale-norimaki,Arale Norimaki,cmd:qcf+4,10,183,/characters/arale-norimaki/frames/frame-183.png,opaque-foreign-image,0.25416666666666665,1.0,1.0,116,39,156,60,2.6,9360
bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,cmd:qcf+4,10,403,/characters/bobobo-bo-bo-bobo/frames/frame-403.png,opaque-foreign-image,0.237494745691467,1.0,1.0,123,41,156,61,2.557377049180328,9516
dragon-shiryu,Dragon Shiryū,jabright,7,17,/characters/dragon-shiryu/frames/frame-017.png,tiny-debris,1.0,0.35802469135802467,1.0,3,3,9,9,1.0,29
franky,Franky,cmd:f+1,10,243,/characters/franky/frames/frame-243.png,opaque-foreign-image,0.241067675493905,1.0,1.0,123,41,156,61,2.557377049180328,9516
goku,Goku,cmd:f+1,6,156,/characters/goku/frames/frame-156.png,tiny-debris,1.0,0.5333333333333333,1.0,1,1,10,6,1.6666666666666667,32
gon-freecss,Gon Freecss,cmd:f+1,9,201,/characters/gon-freecss/frames/frame-201.png,opaque-foreign-image,0.2369693148381673,1.0,1.0,123,41,156,61,2.557377049180328,9516
killua-zoldyck,Killua Zoldyck,cmd:f+1,9,230,/characters/killua-zoldyck/frames/frame-230.png,opaque-foreign-image,0.2998108448928121,1.0,1.0,123,41,156,61,2.557377049180328,9516
majin-buu,Majin Buu,cmd:qcf+4,1,180,/characters/majin-buu/frames/frame-180.png,tiny-debris,1.0,0.8214285714285714,1.0,10,10,14,8,1.75,92
majin-buu,Majin Buu,cmd:qcf+4,3,182,/characters/majin-buu/frames/frame-182.png,tiny-debris,1.0,0.8088235294117647,1.0,10,10,17,8,2.125,110
majin-buu,Majin Buu,cmd:qcf+4,8,187,/characters/majin-buu/frames/frame-187.png,tiny-debris,1.0,0.525,1.0,6,6,8,10,0.8,42
majin-buu,Majin Buu,cmd:qcf+4,10,189,/characters/majin-buu/frames/frame-189.png,tiny-debris,1.0,0.54,1.0,6,6,10,10,1.0,54
majin-buu,Majin Buu,cmd:O+2,5,151,/characters/majin-buu/frames/frame-151.png,tiny-debris,1.0,0.7529411764705882,1.0,10,10,20,17,1.1764705882352942,256
piccolo,Piccolo,cmd:f+1,10,161,/characters/piccolo/frames/frame-161.png,opaque-foreign-image,0.237494745691467,1.0,1.0,123,41,156,61,2.557377049180328,9516
seto-kaiba,Seto Kaiba,kickleft,0,37,/characters/seto-kaiba/frames/frame-037.png,tiny-debris,1.0,0.32919254658385094,1.0,1,1,23,7,3.2857142857142856,53
seto-kaiba,Seto Kaiba,kickleft,1,38,/characters/seto-kaiba/frames/frame-038.png,tiny-debris,1.0,0.4897959183673469,1.0,1,1,7,7,1.0,24
seto-kaiba,Seto Kaiba,kickleft,2,39,/characters/seto-kaiba/frames/frame-039.png,tiny-debris,1.0,0.4,1.0,1,1,10,5,2.0,20
seto-kaiba,Seto Kaiba,kickleft,3,40,/characters/seto-kaiba/frames/frame-040.png,tiny-debris,1.0,0.35714285714285715,1.0,1,1,12,7,1.7142857142857142,30
seto-kaiba,Seto Kaiba,kickleft,4,41,/characters/seto-kaiba/frames/frame-041.png,tiny-debris,1.0,0.34523809523809523,1.0,1,1,12,7,1.7142857142857142,29
seto-kaiba,Seto Kaiba,kickright,7,17,/characters/seto-kaiba/frames/frame-017.png,tiny-debris,1.0,0.37777777777777777,1.0,1,1,18,5,3.6,34
vegeta-super-saiyan,Vegeta (Super Saiyan),cmd:qcf+4,10,184,/characters/vegeta-super-saiyan/frames/frame-184.png,opaque-foreign-image,0.28667507356031946,1.0,1.0,123,41,156,61,2.557377049180328,9516
vegito,Vegito,cmd:f+1,9,175,/characters/vegito/frames/frame-175.png,opaque-foreign-image,0.2588272383354351,1.0,1.0,123,41,156,61,2.557377049180328,9516
yoh-asakura,Yoh Asakura,cmd:qcf+4,9,190,/characters/yoh-asakura/frames/frame-190.png,opaque-foreign-image,0.24674232870954182,1.0,1.0,123,41,156,61,2.557377049180328,9516
yoh-asakura-power-sword,Yoh Asakura (Power Sword),cmd:qcf+4,10,162,/characters/yoh-asakura-power-sword/frames/frame-162.png,opaque-foreign-image,0.24674232870954182,1.0,1.0,123,41,156,61,2.557377049180328,9516
