id,displayName,key,frame,reason,score,heightRatio,seqMedianH,widthRatio,seqMedianW,scale
nico-robin,Nico Robin,cmd:1+3,101,row-width-extreme,4.977,1.000,1.000,1.000,3.934,1
nico-robin,Nico Robin,cmd:1+3,109,row-width-extreme,4.977,1.000,1.000,5.977,3.934,1
dio,DIO,sprint,32,row-width-extreme,4.054,1.000,1.000,5.054,2.676,1
dio,DIO,sprint,37,row-width-extreme,4.054,1.000,1.000,1.000,2.676,1
train-heartnet,Train Heartnet,sprint,35,row-width-extreme,3.970,1.000,1.000,4.970,4.163,1
train-heartnet,Train Heartnet,sprint,39,row-width-extreme,3.970,1.000,1.000,1.000,4.163,1
monkey-d-luffy-2nd-gear,Monkey D. Luffy (2nd Gear),cmd:3+4,97,row-width-extreme,3.835,1.000,1.000,1.000,1.620,1
monkey-d-luffy-2nd-gear,Monkey D. Luffy (2nd Gear),cmd:3+4,101,row-width-extreme,3.835,1.000,1.000,4.835,1.620,1
gotenks-super-saiyan,Gotenks (Super Saiyan),sprint,33,row-width-extreme,3.425,1.000,1.000,4.425,1.678,1
gotenks-super-saiyan,Gotenks (Super Saiyan),sprint,38,row-width-extreme,3.425,1.000,1.000,1.000,1.678,1
nico-robin,Nico Robin,sprint,36,row-width-extreme,3.271,1.000,1.000,4.271,2.248,1
nico-robin,Nico Robin,sprint,38,row-width-extreme,3.271,1.000,1.000,1.000,2.248,1
nico-robin,Nico Robin,sprint,39,row-width-extreme,3.271,1.000,1.000,1.000,2.248,1
sanji-vinsmoke,Sanji Vinsmoke,sprint,36,row-width-extreme,3.256,1.000,1.000,4.682,3.738,1
sanji-vinsmoke,Sanji Vinsmoke,sprint,39,row-width-extreme,3.256,1.000,1.000,1.426,3.738,1
gintoki-sakata,Gintoki Sakata,sprint,30,row-width-extreme,3.211,1.000,1.000,4.211,3.335,1
gintoki-sakata,Gintoki Sakata,sprint,39,row-width-extreme,3.211,1.000,1.000,1.000,3.335,1
killua-zoldyck,Killua Zoldyck,sprint,34,row-width-extreme,3.205,1.000,1.000,4.659,3.674,1
killua-zoldyck,Killua Zoldyck,sprint,39,row-width-extreme,3.205,1.000,1.000,1.454,3.674,1
eve,Eve,cmd:1+2,153,row-width-extreme,3.134,1.000,1.000,1.367,3.113,1
eve,Eve,cmd:1+2,155,row-width-extreme,3.134,1.000,1.000,4.501,3.113,1
vegeta-super-saiyan,Vegeta (Super Saiyan),sprint,31,row-width-extreme,3.104,1.000,1.000,4.104,1.878,1
vegeta-super-saiyan,Vegeta (Super Saiyan),sprint,37,row-width-extreme,3.104,1.000,1.000,1.000,1.878,1
jaguar-junichi,Jaguar Junichi,sprint,34,row-width-extreme,2.870,1.000,1.000,3.870,3.145,1
jaguar-junichi,Jaguar Junichi,sprint,39,row-width-extreme,2.870,1.000,1.000,1.000,3.145,1
monkey-d-luffy,Monkey D. Luffy,jableft,73,row-width-extreme,2.860,1.000,1.000,1.379,2.775,1
monkey-d-luffy,Monkey D. Luffy,jableft,75,row-width-extreme,2.860,1.000,1.000,4.238,2.775,1
nico-robin,Nico Robin,jableft,75,row-width-extreme,2.859,1.000,1.000,1.000,2.400,1
nico-robin,Nico Robin,jableft,78,row-width-extreme,2.859,1.000,1.000,3.859,2.400,1
monkey-d-luffy-2nd-gear,Monkey D. Luffy (2nd Gear),sprint,33,row-width-extreme,2.783,1.000,1.000,3.783,3.143,1
monkey-d-luffy-2nd-gear,Monkey D. Luffy (2nd Gear),sprint,39,row-width-extreme,2.783,1.000,1.000,1.000,3.143,1
vegeta-super-saiyan,Vegeta (Super Saiyan),cmd:1+3,128,row-width-extreme,2.782,1.000,1.000,1.000,2.930,1
vegeta-super-saiyan,Vegeta (Super Saiyan),cmd:1+3,130,row-width-extreme,2.782,1.000,1.000,3.782,2.930,1
killua-zoldyck,Killua Zoldyck,jabright,149,row-width-extreme,2.713,1.000,1.000,3.713,1.415,1
killua-zoldyck,Killua Zoldyck,jabright,150,row-width-extreme,2.713,1.000,1.000,1.000,1.415,1
