character,name,frame,path,reasons,keys
allen-walker,allen-walker,4,/characters/allen-walker/frames/frame-004.png,touches-edge,walkForward
allen-walker,allen-walker,5,/characters/allen-walker/frames/frame-005.png,touches-edge,walkForward
allen-walker,allen-walker,6,/characters/allen-walker/frames/frame-006.png,touches-edge,walkForward
allen-walker,allen-walker,7,/characters/allen-walker/frames/frame-007.png,touches-edge,walkForward
allen-walker,allen-walker,8,/characters/allen-walker/frames/frame-008.png,touches-edge,walkForward
allen-walker,allen-walker,9,/characters/allen-walker/frames/frame-009.png,touches-edge,walkForward
allen-walker,allen-walker,10,/characters/allen-walker/frames/frame-010.png,touches-edge,walkForward
allen-walker,allen-walker,11,/characters/allen-walker/frames/frame-011.png,touches-edge,walkForward
allen-walker,allen-walker,12,/characters/allen-walker/frames/frame-012.png,touches-edge,sprint
allen-walker,allen-walker,13,/characters/allen-walker/frames/frame-013.png,touches-edge,sprint
allen-walker,allen-walker,21,/characters/allen-walker/frames/frame-021.png,touches-edge,jump
allen-walker,allen-walker,22,/characters/allen-walker/frames/frame-022.png,touches-edge,crouch
allen-walker,allen-walker,28,/characters/allen-walker/frames/frame-028.png,touches-edge,juggle
allen-walker,allen-walker,31,/characters/allen-walker/frames/frame-031.png,touches-edge,knockdown
allen-walker,allen-walker,33,/characters/allen-walker/frames/frame-033.png,touches-edge,getupStand|knockdown
allen-walker,allen-walker,46,/characters/allen-walker/frames/frame-046.png,touches-edge,backflip
allen-walker,allen-walker,47,/characters/allen-walker/frames/frame-047.png,touches-edge,backflip
allen-walker,allen-walker,48,/characters/allen-walker/frames/frame-048.png,touches-edge,backflip
allen-walker,allen-walker,53,/characters/allen-walker/frames/frame-053.png,touches-edge,getupStand
allen-walker,allen-walker,54,/characters/allen-walker/frames/frame-054.png,touches-edge,getupStand
allen-walker,allen-walker,55,/characters/allen-walker/frames/frame-055.png,touches-edge,getupStand
allen-walker,allen-walker,80,/characters/allen-walker/frames/frame-080.png,touches-edge,cmd:qcf+4
allen-walker,allen-walker,84,/characters/allen-walker/frames/frame-084.png,touches-edge,cmd:qcf+4
allen-walker,allen-walker,85,/characters/allen-walker/frames/frame-085.png,touches-edge,cmd:qcf+4
allen-walker,allen-walker,88,/characters/allen-walker/frames/frame-088.png,touches-edge,cmd:qcf+4
allen-walker,allen-walker,89,/characters/allen-walker/frames/frame-089.png,touches-edge,cmd:qcf+4
allen-walker,allen-walker,91,/characters/allen-walker/frames/frame-091.png,touches-edge,cmd:1+2|crouchBlock
allen-walker,allen-walker,92,/characters/allen-walker/frames/frame-092.png,touches-edge,cmd:1+2|crouchBlock
allen-walker,allen-walker,93,/characters/allen-walker/frames/frame-093.png,touches-edge,cmd:1+2|crouchBlock
allen-walker,allen-walker,94,/characters/allen-walker/frames/frame-094.png,touches-edge,cmd:1+2
allen-walker,allen-walker,95,/characters/allen-walker/frames/frame-095.png,touches-edge,cmd:1+2|crouchBlock
allen-walker,allen-walker,96,/characters/allen-walker/frames/frame-096.png,touches-edge,cmd:1+2|crouchBlock
allen-walker,allen-walker,97,/characters/allen-walker/frames/frame-097.png,touches-edge,cmd:1+2|crouchBlock
allen-walker,allen-walker,98,/characters/allen-walker/frames/frame-098.png,touches-edge,cmd:1+2|crouchBlock
allen-walker,allen-walker,99,/characters/allen-walker/frames/frame-099.png,touches-edge,cmd:1+2
allen-walker,allen-walker,100,/characters/allen-walker/frames/frame-100.png,touches-edge,cmd:1+2
allen-walker,allen-walker,101,/characters/allen-walker/frames/frame-101.png,touches-edge,cmd:1+2
allen-walker,allen-walker,102,/characters/allen-walker/frames/frame-102.png,touches-edge,cmd:1+2
allen-walker,allen-walker,103,/characters/allen-walker/frames/frame-103.png,touches-edge,cmd:1+2
allen-walker,allen-walker,145,/characters/allen-walker/frames/frame-145.png,touches-edge,sidestepLeft|sidestepRight
allen-walker,allen-walker,251,/characters/allen-walker/frames/frame-251.png,touches-edge,cmd:f+1
allen-walker,allen-walker,255,/characters/allen-walker/frames/frame-255.png,touches-edge,cmd:f+1
allen-walker,allen-walker,256,/characters/allen-walker/frames/frame-256.png,touches-edge,cmd:f+1
allen-walker,allen-walker,259,/characters/allen-walker/frames/frame-259.png,touches-edge,cmd:f+1
allen-walker,allen-walker,260,/characters/allen-walker/frames/frame-260.png,touches-edge,cmd:f+1
anna-kyoyama,anna-kyoyama,0,/characters/anna-kyoyama/frames/frame-000.png,touches-edge,idle
anna-kyoyama,anna-kyoyama,1,/characters/anna-kyoyama/frames/frame-001.png,touches-edge,idle
anna-kyoyama,anna-kyoyama,4,/characters/anna-kyoyama/frames/frame-004.png,touches-edge,walkForward
anna-kyoyama,anna-kyoyama,5,/characters/anna-kyoyama/frames/frame-005.png,touches-edge,walkForward
anna-kyoyama,anna-kyoyama,6,/characters/anna-kyoyama/frames/frame-006.png,touches-edge,walkForward
anna-kyoyama,anna-kyoyama,7,/characters/anna-kyoyama/frames/frame-007.png,touches-edge,walkForward
anna-kyoyama,anna-kyoyama,8,/characters/anna-kyoyama/frames/frame-008.png,touches-edge,walkForward
anna-kyoyama,anna-kyoyama,9,/characters/anna-kyoyama/frames/frame-009.png,touches-edge,walkForward
anna-kyoyama,anna-kyoyama,14,/characters/anna-kyoyama/frames/frame-014.png,touches-edge,walkBack
anna-kyoyama,anna-kyoyama,15,/characters/anna-kyoyama/frames/frame-015.png,touches-edge,block
anna-kyoyama,anna-kyoyama,16,/characters/anna-kyoyama/frames/frame-016.png,touches-edge,chargeKi
anna-kyoyama,anna-kyoyama,18,/characters/anna-kyoyama/frames/frame-018.png,touches-edge,jump
anna-kyoyama,anna-kyoyama,22,/characters/anna-kyoyama/frames/frame-022.png,touches-edge,crouch
anna-kyoyama,anna-kyoyama,25,/characters/anna-kyoyama/frames/frame-025.png,touches-edge,hitLight
anna-kyoyama,anna-kyoyama,30,/characters/anna-kyoyama/frames/frame-030.png,3-components,sprint
anna-kyoyama,anna-kyoyama,31,/characters/anna-kyoyama/frames/frame-031.png,touches-edge,juggle|sprint
anna-kyoyama,anna-kyoyama,32,/characters/anna-kyoyama/frames/frame-032.png,touches-edge,juggle|sprint
anna-kyoyama,anna-kyoyama,33,/characters/anna-kyoyama/frames/frame-033.png,touches-edge,lose|sprint
anna-kyoyama,anna-kyoyama,34,/characters/anna-kyoyama/frames/frame-034.png,touches-edge,getupStand|knockdown|sprint
anna-kyoyama,anna-kyoyama,35,/characters/anna-kyoyama/frames/frame-035.png,touches-edge,getupStand|knockdown|sprint
anna-kyoyama,anna-kyoyama,36,/characters/anna-kyoyama/frames/frame-036.png,touches-edge,getupStand|knockdown|sprint
anna-kyoyama,anna-kyoyama,37,/characters/anna-kyoyama/frames/frame-037.png,touches-edge,getupStand|knockdown|sprint
anna-kyoyama,anna-kyoyama,39,/characters/anna-kyoyama/frames/frame-039.png,touches-edge|3-components,sprint
anna-kyoyama,anna-kyoyama,43,/characters/anna-kyoyama/frames/frame-043.png,touches-edge,backflip
anna-kyoyama,anna-kyoyama,45,/characters/anna-kyoyama/frames/frame-045.png,touches-edge,backflip
anna-kyoyama,anna-kyoyama,47,/characters/anna-kyoyama/frames/frame-047.png,touches-edge,backflip
anna-kyoyama,anna-kyoyama,48,/characters/anna-kyoyama/frames/frame-048.png,touches-edge,backflip
anna-kyoyama,anna-kyoyama,53,/characters/anna-kyoyama/frames/frame-053.png,touches-edge,getupStand
anna-kyoyama,anna-kyoyama,54,/characters/anna-kyoyama/frames/frame-054.png,touches-edge,getupStand
anna-kyoyama,anna-kyoyama,55,/characters/anna-kyoyama/frames/frame-055.png,touches-edge,getupStand
anna-kyoyama,anna-kyoyama,56,/characters/anna-kyoyama/frames/frame-056.png,touches-edge,getupStand
anna-kyoyama,anna-kyoyama,84,/characters/anna-kyoyama/frames/frame-084.png,touches-edge,jabright
anna-kyoyama,anna-kyoyama,85,/characters/anna-kyoyama/frames/frame-085.png,touches-edge,jabright
anna-kyoyama,anna-kyoyama,87,/characters/anna-kyoyama/frames/frame-087.png,touches-edge,jabright
anna-kyoyama,anna-kyoyama,88,/characters/anna-kyoyama/frames/frame-088.png,touches-edge,jabright
anna-kyoyama,anna-kyoyama,89,/characters/anna-kyoyama/frames/frame-089.png,touches-edge,jabright
anna-kyoyama,anna-kyoyama,90,/characters/anna-kyoyama/frames/frame-090.png,touches-edge,crouchBlock|jabright
anna-kyoyama,anna-kyoyama,91,/characters/anna-kyoyama/frames/frame-091.png,touches-edge,crouchBlock
anna-kyoyama,anna-kyoyama,92,/characters/anna-kyoyama/frames/frame-092.png,touches-edge,crouchBlock
anna-kyoyama,anna-kyoyama,93,/characters/anna-kyoyama/frames/frame-093.png,touches-edge,crouchBlock
anna-kyoyama,anna-kyoyama,95,/characters/anna-kyoyama/frames/frame-095.png,touches-edge,crouchBlock
anna-kyoyama,anna-kyoyama,96,/characters/anna-kyoyama/frames/frame-096.png,touches-edge,crouchBlock
anna-kyoyama,anna-kyoyama,97,/characters/anna-kyoyama/frames/frame-097.png,touches-edge,crouchBlock
anna-kyoyama,anna-kyoyama,98,/characters/anna-kyoyama/frames/frame-098.png,touches-edge,crouchBlock
anna-kyoyama,anna-kyoyama,100,/characters/anna-kyoyama/frames/frame-100.png,touches-edge,cmd:f+1
anna-kyoyama,anna-kyoyama,101,/characters/anna-kyoyama/frames/frame-101.png,touches-edge,cmd:f+1
anna-kyoyama,anna-kyoyama,102,/characters/anna-kyoyama/frames/frame-102.png,touches-edge,cmd:f+1
anna-kyoyama,anna-kyoyama,105,/characters/anna-kyoyama/frames/frame-105.png,touches-edge,cmd:f+1
