character,displayName,key,frame,isAttack,widthRatio,heightRatio,bodyWidthRatio,bodyHeightRatio,bodyFootGapRatio,expectedWidthRatio,expectedWidthLabel,areaRatio,bodyAreaRatio,scaleWidth,scaleHeight,scaleSource,sameSourceScaleUses,reasons
allen-walker,Allen Walker,cmd:1+2,94,true,1.783,1,1.783,1,0,1.783,idleW,1.783,1.783,1,1,frame,cmd:1+2:1/1,too-wide:1.78x-idleW|high-area:1.78
allen-walker,Allen Walker,cmd:1+2,99,true,2.459,0.99,2.459,0.99,0.017,2.459,idleW,2.434,2.434,0.99,0.99,frame,cmd:1+2:0.99/0.99,too-wide:2.46x-idleW|high-area:2.43
allen-walker,Allen Walker,cmd:1+2,100,true,2.493,0.99,2.493,0.99,0.017,2.493,idleW,2.468,2.468,0.99,0.99,frame,cmd:1+2:0.99/0.99,too-wide:2.49x-idleW|high-area:2.47
allen-walker,Allen Walker,cmd:1+2,101,true,2.667,0.99,2.667,0.99,0.019,2.667,idleW,2.64,2.64,0.99,0.99,frame,cmd:1+2:0.99/0.99,too-wide:2.67x-idleW|high-area:2.64
allen-walker,Allen Walker,cmd:1+2,102,true,1.696,1,1.696,1,0,1.696,idleW,1.696,1.696,1,1,frame,cmd:1+2:1/1,too-wide:1.70x-idleW|high-area:1.70
allen-walker,Allen Walker,cmd:1+2,103,true,1.459,1,1.209,1,0,1.459,idleW,1.459,1.209,1,1,frame,cmd:1+2:1/1,high-area:1.46
allen-walker,Allen Walker,cmd:d+1,75,true,1.5,1,1.5,1,0,1.5,idleW,1.5,1.5,1,1,frame,jableft:1/1|cmd:FC+1:1/1|cmd:d+1:1/1|cmd:qcf+1:1/1|cmd:O+1:1/1,high-area:1.50
allen-walker,Allen Walker,cmd:d+1,76,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,cmd:d+1,77,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,cmd:d+1,78,true,1.03,1.03,1.03,1.03,0,1.03,idleW,1.061,1.061,1.03,1.03,frame,jableft:1.03/1.03|win:1.03/1.03|cmd:FC+1:1.03/1.03|cmd:d+1:1.03/1.03|cmd:qcf+1:1.03/1.03|cmd:O+1:1.03/1.03,seq-area-low:0.43
allen-walker,Allen Walker,cmd:f+1,251,true,1,1,0.979,0.981,0.096,1,idleW,1,0.96,1,1,frame,cmd:f+1:1/1,feet-above-ground:0.10
allen-walker,Allen Walker,cmd:f+1,253,true,1.31,1.31,1.31,0.999,0,1.31,idleW,1.716,1.309,1.31,1.31,frame,cmd:f+1:1.31/1.31,above-blue:1.31h|body-top-below-blue:0.31|high-area:1.72
allen-walker,Allen Walker,cmd:f+1,254,true,1.25,1.25,1.193,1.215,0,1.25,idleW,1.563,1.449,1.25,1.25,frame,cmd:f+1:1.25/1.25,above-blue:1.25h|body-above:1.21h|high-area:1.56
allen-walker,Allen Walker,cmd:FC+1,75,true,1.5,1,1.5,1,0,1.5,idleW,1.5,1.5,1,1,frame,jableft:1/1|cmd:FC+1:1/1|cmd:d+1:1/1|cmd:qcf+1:1/1|cmd:O+1:1/1,high-area:1.50
allen-walker,Allen Walker,cmd:FC+1,76,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,cmd:FC+1,77,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,cmd:FC+1,78,true,1.03,1.03,1.03,1.03,0,1.03,idleW,1.061,1.061,1.03,1.03,frame,jableft:1.03/1.03|win:1.03/1.03|cmd:FC+1:1.03/1.03|cmd:d+1:1.03/1.03|cmd:qcf+1:1.03/1.03|cmd:O+1:1.03/1.03,seq-area-low:0.43
allen-walker,Allen Walker,cmd:O+1,75,true,1.5,1,1.5,1,0,1.5,idleW,1.5,1.5,1,1,frame,jableft:1/1|cmd:FC+1:1/1|cmd:d+1:1/1|cmd:qcf+1:1/1|cmd:O+1:1/1,high-area:1.50
allen-walker,Allen Walker,cmd:O+1,76,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
