character,displayName,key,frame,widthRatio,heightRatio,gapRatio,bodyHeightRatio,bodyGapRatio,localDip,scaleWidth,scaleHeight,source,reasons
allen-walker,"Allen Walker","cmd:f+1",253,0.98,0.98,0.02,0.747,0.253,0,0.98,0.98,frame,"body-gap:0.25"
allen-walker,"Allen Walker","cmd:qcf+4",82,0.98,0.98,0.02,0.747,0.253,0,0.98,0.98,frame,"body-gap:0.25"
arale-norimaki,"Arale Norimaki","juggle",30,1.564,0.78,0.22,0.78,0.22,0.31,0.78,0.78,frame,"idle-gap:0.22|seq-dip:0.31"
dr-mashirito,"Dr. Mashirito","cmd:qcf+4",174,1,1,0,0.553,0.447,0,1,1,default,"body-gap:0.45"
eve,"Eve","juggle",30,1.45,0.78,0.22,0.78,0.22,0.22,0.78,0.78,frame,"idle-gap:0.22|seq-dip:0.22"
gohan-super-saiyan-2,"Gohan (Super Saiyan 2)","kickleft",81,2.837,0.72,0.28,0.72,0.28,0.13,0.72,0.72,frame,"idle-gap:0.28"
gohan-super-saiyan-2,"Gohan (Super Saiyan 2)","kickleft",82,2.703,0.72,0.28,0.72,0.28,0.13,0.72,0.72,frame,"idle-gap:0.28"
goku,"Goku","cmd:f+1",160,1.12,1.12,0,0.738,0.262,0,1.12,1.12,frame,"body-gap:0.26"
goku-super-saiyan,"Goku (Super Saiyan)","cmd:qcf+4",182,1,1,0,0.427,0.573,0,1,1,default,"body-gap:0.57"
gon-freecss,"Gon Freecss","jabright",111,3.087,0.95,0.05,0.95,0.05,0.17,0.95,0.95,frame,"seq-dip:0.17"
gon-freecss,"Gon Freecss","juggle",30,1.698,0.64,0.36,0.64,0.36,0.085,0.64,0.64,frame,"idle-gap:0.36"
gon-freecss,"Gon Freecss","juggle",31,1.505,0.81,0.19,0.81,0.19,0,0.81,0.81,frame,"idle-gap:0.19"
ichigo-kurosaki,"Ichigo Kurosaki","cmd:d/f+2",311,1.058,1.058,0,0.759,0.241,0,0.91,0.91,frame,"body-gap:0.24"
ichigo-kurosaki,"Ichigo Kurosaki","cmd:f+1",409,0.977,0.977,0.023,0.449,0.551,0.023,0.84,0.84,frame,"body-gap:0.55"
ichigo-kurosaki,"Ichigo Kurosaki","cmd:qcf+4",164,1,1,0,0.574,0.426,0.128,0.86,0.86,frame,"body-gap:0.43"
