characterId,displayName,unplayable,frameIndex,reason,areaRatio,verticalSeparation,horizontalSeparation,file,reviewImage
allen-walker,"Allen Walker",false,444,stacked-body-sized-components,0.998,0.966,0.051,public/characters/allen-walker/frames/frame-444.png,frames/allen-walker-frame-444.png
allen-walker,"Allen Walker",false,445,stacked-body-sized-components,0.955,2.136,0.167,public/characters/allen-walker/frames/frame-445.png,frames/allen-walker-frame-445.png
allen-walker,"Allen Walker",false,446,stacked-body-sized-components,0.937,1.192,0.029,public/characters/allen-walker/frames/frame-446.png,frames/allen-walker-frame-446.png
allen-walker,"Allen Walker",false,447,stacked-body-sized-components,0.931,2.076,0.061,public/characters/allen-walker/frames/frame-447.png,frames/allen-walker-frame-447.png
allen-walker,"Allen Walker",false,448,stacked-body-sized-components,0.925,2.076,0.061,public/characters/allen-walker/frames/frame-448.png,frames/allen-walker-frame-448.png
allen-walker,"Allen Walker",false,449,stacked-body-sized-components,0.931,2.413,0.121,public/characters/allen-walker/frames/frame-449.png,frames/allen-walker-frame-449.png
allen-walker,"Allen Walker",false,450,stacked-body-sized-components,0.945,2.423,0.045,public/characters/allen-walker/frames/frame-450.png,frames/allen-walker-frame-450.png
allen-walker,"Allen Walker",false,451,stacked-body-sized-components,0.864,1.23,0,public/characters/allen-walker/frames/frame-451.png,frames/allen-walker-frame-451.png
allen-walker,"Allen Walker",false,452,stacked-body-sized-components,0.82,1.265,0.057,public/characters/allen-walker/frames/frame-452.png,frames/allen-walker-frame-452.png
allen-walker,"Allen Walker",false,453,stacked-body-sized-components,0.971,0.966,0.093,public/characters/allen-walker/frames/frame-453.png,frames/allen-walker-frame-453.png
allen-walker,"Allen Walker",false,454,stacked-body-sized-components,0.998,0.966,0.051,public/characters/allen-walker/frames/frame-454.png,frames/allen-walker-frame-454.png
allen-walker,"Allen Walker",false,455,stacked-body-sized-components,0.955,2.136,0.167,public/characters/allen-walker/frames/frame-455.png,frames/allen-walker-frame-455.png
allen-walker,"Allen Walker",false,456,stacked-body-sized-components,0.937,1.192,0.029,public/characters/allen-walker/frames/frame-456.png,frames/allen-walker-frame-456.png
allen-walker,"Allen Walker",false,457,stacked-body-sized-components,0.931,2.076,0.061,public/characters/allen-walker/frames/frame-457.png,frames/allen-walker-frame-457.png
allen-walker,"Allen Walker",false,458,stacked-body-sized-components,0.925,2.076,0.061,public/characters/allen-walker/frames/frame-458.png,frames/allen-walker-frame-458.png
allen-walker,"Allen Walker",false,459,stacked-body-sized-components,0.931,2.413,0.121,public/characters/allen-walker/frames/frame-459.png,frames/allen-walker-frame-459.png
allen-walker,"Allen Walker",false,460,stacked-body-sized-components,0.945,2.423,0.045,public/characters/allen-walker/frames/frame-460.png,frames/allen-walker-frame-460.png
allen-walker,"Allen Walker",false,461,stacked-body-sized-components,0.864,1.23,0,public/characters/allen-walker/frames/frame-461.png,frames/allen-walker-frame-461.png
allen-walker,"Allen Walker",false,462,stacked-body-sized-components,0.82,1.265,0.057,public/characters/allen-walker/frames/frame-462.png,frames/allen-walker-frame-462.png
allen-walker,"Allen Walker",false,463,stacked-body-sized-components,0.971,0.966,0.093,public/characters/allen-walker/frames/frame-463.png,frames/allen-walker-frame-463.png
anna-kyoyama,"Anna Kyoyama",false,155,side-by-side-body-sized-components,0.621,0.182,1.208,public/characters/anna-kyoyama/frames/frame-155.png,frames/anna-kyoyama-frame-155.png
anna-kyoyama,"Anna Kyoyama",false,160,side-by-side-body-sized-components,0.326,0.128,0.762,public/characters/anna-kyoyama/frames/frame-160.png,frames/anna-kyoyama-frame-160.png
anna-kyoyama,"Anna Kyoyama",false,161,stacked-body-sized-components,0.285,0.557,0.817,public/characters/anna-kyoyama/frames/frame-161.png,frames/anna-kyoyama-frame-161.png
anna-kyoyama,"Anna Kyoyama",false,162,many-major-components,0.202,0.151,0.738,public/characters/anna-kyoyama/frames/frame-162.png,frames/anna-kyoyama-frame-162.png
anna-kyoyama,"Anna Kyoyama",false,163,many-major-components,0.251,0.045,0.889,public/characters/anna-kyoyama/frames/frame-163.png,frames/anna-kyoyama-frame-163.png
arale-norimaki,"Arale Norimaki",false,144,stacked-body-sized-components,0.795,0.603,0.5,public/characters/arale-norimaki/frames/frame-144.png,frames/arale-norimaki-frame-144.png
dio,"DIO",false,201,side-by-side-body-sized-components,0.981,0,1.658,public/characters/dio/frames/frame-201.png,frames/dio-frame-201.png
dio,"DIO",false,202,stacked-body-sized-components,0.792,1.021,0.429,public/characters/dio/frames/frame-202.png,frames/dio-frame-202.png
dio,"DIO",false,203,stacked-body-sized-components,0.798,1.021,0.125,public/characters/dio/frames/frame-203.png,frames/dio-frame-203.png
dio,"DIO",false,204,stacked-body-sized-components,0.971,1.017,0.5,public/characters/dio/frames/frame-204.png,frames/dio-frame-204.png
don-patch-poppa-rocks,"Don Patch _ Poppa Rocks",false,152,stacked-body-sized-components,0.54,0.611,0.304,public/characters/don-patch-poppa-rocks/frames/frame-152.png,frames/don-patch-poppa-rocks-frame-152.png
don-patch-poppa-rocks,"Don Patch _ Poppa Rocks",false,164,stacked-body-sized-components,0.675,1.255,0.079,public/characters/don-patch-poppa-rocks/frames/frame-164.png,frames/don-patch-poppa-rocks-frame-164.png
don-patch-poppa-rocks,"Don Patch _ Poppa Rocks",false,165,stacked-body-sized-components,0.808,1.344,0.048,public/characters/don-patch-poppa-rocks/frames/frame-165.png,frames/don-patch-poppa-rocks-frame-165.png
don-patch-poppa-rocks,"Don Patch _ Poppa Rocks",false,166,stacked-body-sized-components,0.75,1.344,0.048,public/characters/don-patch-poppa-rocks/frames/frame-166.png,frames/don-patch-poppa-rocks-frame-166.png
don-patch-poppa-rocks,"Don Patch _ Poppa Rocks",false,167,stacked-body-sized-components,0.767,1.3,0,public/characters/don-patch-poppa-rocks/frames/frame-167.png,frames/don-patch-poppa-rocks-frame-167.png
don-patch-poppa-rocks,"Don Patch _ Poppa Rocks",false,168,stacked-body-sized-components,0.684,1.322,0.016,public/characters/don-patch-poppa-rocks/frames/frame-168.png,frames/don-patch-poppa-rocks-frame-168.png
don-patch-poppa-rocks,"Don Patch _ Poppa Rocks",false,196,stacked-body-sized-components,1,1.067,1.618,public/characters/don-patch-poppa-rocks/frames/frame-196.png,frames/don-patch-poppa-rocks-frame-196.png
don-patch-poppa-rocks,"Don Patch _ Poppa Rocks",false,363,stacked-body-sized-components,0.548,0.593,0.304,public/characters/don-patch-poppa-rocks/frames/frame-363.png,frames/don-patch-poppa-rocks-frame-363.png
franky,"Franky",false,100,many-major-components,0.21,0.375,0.238,public/characters/franky/frames/frame-100.png,frames/franky-frame-100.png
franky,"Franky",false,188,many-major-components,0.21,0.375,0.238,public/characters/franky/frames/frame-188.png,frames/franky-frame-188.png
franky,"Franky",false,195,side-by-side-body-sized-components,0.804,0.189,0.879,public/characters/franky/frames/frame-195.png,frames/franky-frame-195.png
fuusuke,"Fuusuke",false,96,stacked-body-sized-components,0.319,0.767,0.392,public/characters/fuusuke/frames/frame-096.png,frames/fuusuke-frame-096.png
fuusuke,"Fuusuke",false,112,side-by-side-body-sized-components,0.766,0.027,1.583,public/characters/fuusuke/frames/frame-112.png,frames/fuusuke-frame-112.png
fuusuke,"Fuusuke",false,167,stacked-body-sized-components,0.975,0.58,0.906,public/characters/fuusuke/frames/frame-167.png,frames/fuusuke-frame-167.png
fuusuke,"Fuusuke",false,185,stacked-body-sized-components,0.959,0.583,0.167,public/characters/fuusuke/frames/frame-185.png,frames/fuusuke-frame-185.png
fuusuke,"Fuusuke",false,189,many-major-components,0.384,0.387,0.167,public/characters/fuusuke/frames/frame-189.png,frames/fuusuke-frame-189.png
fuusuke,"Fuusuke",false,194,side-by-side-body-sized-components,0.766,0.027,1.583,public/characters/fuusuke/frames/frame-194.png,frames/fuusuke-frame-194.png
