character,animation,frames,silhouette_width_min,silhouette_width_max,height_min,height_max,recorded_center_abs_max
yasutora-sado,chargeKi,5,0.36001,7.94829,0.7278399999999999,5.5287299999999995,0.1899135
yasutora-sado,jump,5,0.36001,7.94829,0.7278399999999999,5.5287299999999995,0.1899135
yasutora-sado,kickright,5,0.36001,7.94829,0.7278399999999999,5.5287299999999995,0.1899135
yasutora-sado,sprint,5,0.36001,7.94829,0.7278399999999999,5.5287299999999995,0.1899135
seto-kaiba,backflip,8,0.38419,7.94712,0.7683500000000001,2.20916,0.3975
seto-kaiba,jump,8,0.38419,7.94712,0.7683500000000001,2.20916,0.3975
ryotsu-kankichi,backflip,8,0.92993,7.94712,1.8852300000000002,4.33347,0.86727
jaguar-junichi,sprint,10,0.95198,7.9473,0.42661000000000004,3.69816,0.1248726024
momotaro-tsurugi,sprint,10,0.97574,7.947569999999999,0.21522,5.74602,0.97845
jaguar-junichi,getupStand,7,0.99018,7.9473,0.42661000000000004,3.69816,0.1183009818
jaguar-junichi,knockdown,4,0.99018,7.9473,0.42661000000000004,3.69816,0.0797620896
vegito,sprint,10,0.99654,7.947299999999999,0.65743,3.83523,1.06227
gotenks-super-saiyan,backflip,8,0.9972099999999999,7.947,0.74809,3.147,0.34861635900000004
goku-super-saiyan,sprint,10,1.01044,7.947299999999999,0.66545,3.83523,1.06227
naruto-uzumaki-nine-tails-kyubi,backflip,8,0.9638100000000001,7.485930000000001,0.96033,6.23805,2.028
kiro,getupRollUp,6,0.9271499999999999,7.194609999999999,0.24465000000000003,3.78544,0.7576030945
kiro,getupStand,7,0.9271499999999999,7.194609999999999,0.24465000000000003,3.78544,0.7576030945
lenalee-lee,backflip,8,0.90254,6.24934,1.69229,4.718260000000001,0.255171072
momotaro-tsurugi,getupStand,8,1.1669,7.947569999999999,0.47935999999999995,5.74602,0.97845
momotaro-tsurugi,knockdown,4,1.1669,7.947569999999999,0.47935999999999995,5.74602,0.97845
kiro,knockdown,4,1.06471,7.194609999999999,0.53721,3.78544,0.7576030945
majin-buu,backflip,8,1.21582,7.94688,1.54405,4.51746,0.5942872
ryotsu-kankichi,sprint,10,1.16516,7.50414,0.8348,5.000839999999999,0.4171228426
anna-kyoyama,backflip,8,0.86503,5.54472,1.04305,6.23802,0.27237
kakashi-hatake,backflip,8,0.78599,4.81632,1.88975,4.32639,0.5731799313
fuusuke,crouchBlock,8,1.1357199999999998,6.953049999999999,1.48252,5.01175,0.84931875
monkey-d-luffy,cmd:2+3,13,0.73186,4.377800000000001,0.82852,4.62949,0.28971
nami-perfect-clima-tact,backflip,8,0.657,3.90902,0.8246500000000001,2.81406,0.508375205
yugi-mutou,backflip,8,0.8392299999999999,4.9669,0.73764,2.85058,0.1083568612
gon-freecss,jabright,16,0.8628,5.05345,1.44516,5.59789,0.5293743
yugi-mutou,sprint,10,1.05664,6.15075,0.50625,6.23751,0.4317730856
seto-kaiba,crouchBlock,8,1.3832200000000001,7.94118,1.68315,2.20916,0.66249
seto-kaiba,kickright,8,1.3832200000000001,7.94118,1.68315,2.20916,0.66249
seto-kaiba,sidestepRight,8,1.3832200000000001,7.94118,1.68315,2.20916,0.66249
kazuki-muto,cmd:1+2,6,1.29109,7.352040000000001,1.78317,6.23778,0.6178010841
naruto-uzumaki-nine-tails-kyubi,sprint,10,1.31707,7.43662,0.30324,5.22818,0.2905951328
vegeta,sprint,10,1.23823,6.83816,1.06602,4.20721,1.8601466235
naruto-uzumaki-nine-tails-kyubi,knockdown,12,1.31707,7.23091,0.46629,5.806660000000001,0.35134353389999995
dio,sprint,10,0.5233300000000001,2.834,0.6554099999999999,1.97599,0.1895636085
momotaro-tsurugi,cmd:2+4,8,0.5933200000000001,3.1466499999999997,2.1485800000000004,4.19594,0.2151337132
nami,backflip,8,1.01804,5.26845,0.96813,3.68728,0.685172605
goku,backflip,8,1.54096,7.94715,1.72785,4.394939999999999,1.13571
train-heartnet,getupStand,8,0.92717,4.702069999999999,0.37067,2.43418,0.38794225860000003
train-heartnet,knockdown,4,0.92717,4.702069999999999,0.37067,2.43418,0.251979
train-heartnet,sprint,10,0.92717,4.702069999999999,0.26542,2.43418,0.8426581300000001
kazuki-muto,sprint,10,1.25965,6.34117,0.46287999999999996,4.3022,0.11327224999999999
gotenks,sprint,10,1.076,5.41093,0.46108000000000005,4.34195,0.15795447359999998
nami-perfect-clima-tact,sprint,10,0.53667,2.6875099999999996,0.36715000000000003,1.97939,0.36660694720000003
kenshiro,backflip,8,0.6696599999999999,3.33843,0.52413,3.2787900000000003,0.105346866
franky,backflip,8,1.31114,6.5352,1.9662199999999999,6.23802,1.26285
dragon-shiryu,backflip,8,1.28197,6.22611,1.3085,6.22611,0.1040668538
dragon-shiryu,block,8,1.28197,6.22611,1.3085,6.22611,0.1040668538
dragon-shiryu,jabright,8,1.28197,6.22611,1.3085,6.22611,0.1040668538
dragon-shiryu,jump,8,1.28197,6.22611,1.3085,6.22611,0.1040668538
gotenks,getupStand,9,1.12038,5.41093,0.46108000000000005,2.80853,0.59868432
gotenks,knockdown,4,1.12038,5.41093,0.46108000000000005,2.80853,0.032166875
cygnus-hyoga,chargeKi,7,0.23899,1.14486,0.7276699999999999,6.238740000000001,0.0624
cygnus-hyoga,jump,7,0.23899,1.14486,0.7276699999999999,6.238740000000001,0.0624
cygnus-hyoga,kickright,7,0.23899,1.14486,0.7276699999999999,6.238740000000001,0.0624
cygnus-hyoga,sprint,7,0.23899,1.14486,0.7276699999999999,6.238740000000001,0.0624
nico-robin,sprint,10,0.86491,4.12397,0.50048,4.4776299999999996,0.13590876000000002
kagura,cmd:2+4,9,0.87186,4.15196,1.7337300000000002,3.41582,1.1569448583
gotenks-super-saiyan,sprint,10,0.88629,4.15267,0.37777,3.56414,0.09724372950000001
bobobo-bo-bo-bobo,sprint,10,0.9896400000000001,4.51343,0.75741,3.5951299999999997,0.3252222936
monkey-d-luffy-2nd-gear,backflip,8,0.7689600000000001,3.45139,1.54337,3.0605100000000003,0.4234441498
anna-kyoyama,sprint,10,1.3905699999999999,6.236940000000001,0.56771,6.236940000000001,0.2322288608
sanji-vinsmoke,sprint,10,0.9271400000000001,4.15701,0.27447000000000005,6.23703,0.7205041448
gotenks-super-saiyan,getupStand,9,0.94835,4.15267,0.37777,2.15543,0.44156385
gotenks-super-saiyan,knockdown,4,0.94835,4.15267,0.37777,2.15543,0.025835625
sven-vollfied,kickleft,6,1.2861799999999999,5.61183,2.13078,6.23583,0.584485
sven-vollfied,sidestepRight,6,1.2861799999999999,5.61183,2.13078,6.23583,0.584485
kenshiro,kickleft,8,1.1814500000000001,5.08414,1.26029,4.1444399999999995,0.44220022220000005
jaguar-junichi,cmd:2+3,9,1.0680300000000003,4.59027,1.62868,4.33242,0.441465125
ichigo-kurosaki,backflip,8,0.98716,4.1733,1.17716,3.5106800000000002,0.32689910850000004
frieza,backflip,8,1.33491,5.57403,1.18686,3.85053,0.9124522788
frieza,getupStand,8,1.33491,5.57403,0.87059,3.85053,0.9124522788
kagura,jableft,10,0.89435,3.7191799999999997,1.60283,3.16806,0.92208
naruto-uzumaki-nine-tails-kyubi,hitLight,9,1.8087799999999998,7.4655,0.89543,6.23796,0.286297803
franky,getupStand,8,1.17951,4.82003,0.58956,3.05945,0.2301511644
nico-robin,cmd:1+3,19,0.65038,2.64959,0.87061,2.0791900000000005,0.88159
lenalee-lee,cmd:1+3,9,1.19017,4.84767,1.08458,4.28812,0.1778565882
