character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
momotaro-tsurugi,sprint,10,0.11657407787202745,0.9995436791328477,1.000660488690426,0.8840864108183986,1.0008276119092627
kakashi-hatake,idle,6,0.041091416184363405,0.992143927117141,1.0246697420346615,0.9835783258502981,1.0001119115650252
yugi-mutou,jableft,7,0.028644831333738185,0.9995661056788908,1.0143560939944927,0.9999674451487545,1.0142887373392455
riven,cmd:d/f+1,4,0.02843103394615687,0.9975956052053027,1.0087856454332862,0.9936272641140877,1.0196453885128707
gohan-super-saiyan-2,walkForward,4,0.027736827879718318,0.9919123995000763,1.0124836047180108,0.9946174764387772,1.0152532231617075
train-heartnet,cmd:1+2,6,0.026071998153802234,0.9877529895234373,1.0118142410810211,0.9861750123227605,1.0085895182016509
caramelman-j,walkForward,9,0.025469889890039177,0.9858686616791352,1.0029545700964977,0.9951109903948245,1.0113385515691744
gotenks,crouchBlock,8,0.02472596330054877,0.9860206262330994,1.0008011636916792,0.9892534104663518,1.0004240784941951
frieza,sprint,10,0.02385144295398678,0.9991924598819125,1.0148432770697662,0.9909918341157794,1.0004211408316845
kagura,jableft,10,0.02248953624518979,0.9884663611023021,1.0004577058194588,0.999704490257942,1.010955897347492
kiro,walkForward,10,0.022309607336697623,0.9994045976005954,1.0123898347814992,0.9900802274448016,1.0003553825024691
raoh,idle,6,0.02201982750825382,0.9859719100406282,1.0097219752501947,0.9999611127920125,1.007991737548882
yasutora-sado,kickleft,4,0.021959545948237236,0.9997253756678567,1.0112445694008025,0.9892850234525653,1.0003211801354759
yasutora-sado,sidestepRight,4,0.021959545948237236,0.9997253756678567,1.0112445694008025,0.9892850234525653,1.0003211801354759
gohan-super-saiyan,walkForward,4,0.02121714416979248,0.987403661471595,1.00883572401538,0.9922542418756632,1.0086208056413875
kagura,idle,4,0.021012721913146626,0.9998049011029655,1.0151797312297373,0.9941670093165906,1.0004181888906625
