character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
dio,cmd:1+2,10,3.3471732883039174e-05,0.9999759062270356,1.0,0.9999906220400814,1.0000000000000002
train-heartnet,cmd:1+3,9,2.9557659932843983e-05,0.9999752518128048,1.0000000000000002,0.9999951905272625,1.0000048094727376
allen-walker,cmd:1+2,13,2.886484297937031e-05,0.9999999999999998,1.000019245758716,1.0,1.0000096190842633
dio,walkForward,4,2.878335543443633e-05,0.9999999999999999,1.0000240943534884,0.999995310998054,1.000004689001946
riven,cmd:FC+3+4,10,2.8241502978754163e-05,0.9999999999999999,1.0000234320996333,0.9999951905966545,1.0000048094033454
riven,win,7,2.824095392794934e-05,0.9999765684494173,1.0000000000000002,0.9999951905966548,1.0000000000000002
killua-zoldyck,jump,5,2.7666086402811096e-05,0.9999771436407895,1.0,0.9999999999999998,1.0000048097271923
sanji-vinsmoke,backflip,8,2.714971904727026e-05,0.9999941564550718,1.0000175306347843,0.999990380915737,1.0000000000000002
killua-zoldyck,cmd:1+3,14,2.676206392204783e-05,0.9999942858122431,1.0000171425632702,1.0,1.0000096195006518
sakura-haruno,jableft,11,2.6726384461550623e-05,0.9999999999999998,1.0000171068838097,1.0,1.0000096195006518
nico-robin,jableft,7,2.638660694898043e-05,0.9999999999999999,1.000021683977709,0.99999529737076,1.0000000000000002
nico-robin,cmd:1+3,19,2.6386136764311452e-05,0.9999783164924759,1.0000000000000002,0.9999952973707598,1.0000047026292398
gintoki-sakata,cmd:1+4,5,2.582052877830865e-05,0.999979069207665,1.0000000000000002,1.0,1.0000048897364433
gintoki-sakata,chargeKi,4,2.582050486898968e-05,0.9999790692076649,1.0,0.9999951102874661,1.0
vegito,cmd:2+3,6,2.5653409825077134e-05,0.9999999999999998,1.000018439807857,0.999992786398032,1.0000024045339893
killua-zoldyck,sidestepLeft,6,2.5261739448501075e-05,1.0,1.0000228568816356,0.9999975951421871,1.0000024048578127
killua-zoldyck,sidestepRight,6,2.5261739448501075e-05,1.0,1.0000228568816356,0.9999975951421871,1.0000024048578127
dio,chargeKi,10,2.5104142694853948e-05,0.9999939764479114,1.000018070656266,0.9999929665135712,1.0000023444954764
riven,jabright,6,2.4788094142191852e-05,0.999994142009408,1.0000175739717763,0.9999975952925446,1.000007214122366
riven,cmd:FC+4,4,2.478805944661211e-05,0.9999941420094081,1.0000175739717763,0.9999927859123297,1.0000024046958902
sakura-haruno,jump,4,2.432119930817489e-05,0.9999828934088305,1.0,0.9999975951306206,1.0000072146081387
gotenks-super-saiyan,cmd:1+2,6,2.4105370419635896e-05,0.9999783019072623,1.0,0.999997592722318,1.0000024072776819
allen-walker,walkForward,8,2.405324132470632e-05,0.9999951885834706,1.0000144342495874,0.9999903810082627,1.0000000000000002
gotenks-super-saiyan,jabright,4,2.3495490875657943e-05,0.9999837263421699,1.00000542455261,0.999997592722318,1.0000072218330456
train-heartnet,cmd:3+4,6,2.337072797342632e-05,0.9999814387447641,1.0000061870850785,0.9999951905272625,1.0000000000000002
vegito,sprint,10,2.3248887399351936e-05,0.9999999999999998,1.000018439807857,0.9999951909204577,1.0000048090795421
vegito,getupStand,9,2.324888739912989e-05,0.9999999999999998,1.000018439807857,0.999995190920458,1.0000000000000002
vegito,kickright,9,2.3248547379228768e-05,0.9999815605321631,1.0,0.9999951909204576,1.0000048090795421
vegito,chargeKi,6,2.3248547379117745e-05,0.9999815605321631,1.0,0.9999951909204577,1.0000048090795421
heihachi-edajima,backflip,8,2.277030246788936e-05,0.9999999999999998,1.0000179608991224,0.9999951905966545,1.0000048094033454
dio,jableft,4,2.2759658211968237e-05,0.9999939764479114,1.000018070656266,0.999995310998054,1.0000000000000002
dio,crouchBlock,8,2.2759440515551788e-05,0.9999819295614305,1.0000060234795232,0.999995310998054,1.000004689001946
kenshin-himura,jump,5,2.2530364748973852e-05,1.0,1.0000176917565262,1.0,1.0000048386082228
kenshin-himura,cmd:1+2+3,7,2.253036474830772e-05,0.9999999999999998,1.000017691756526,0.9999999999999998,1.0000048386082223
kenshin-himura,getupStand,7,2.2530051756008973e-05,0.9999823085564667,1.0,0.9999999999999998,1.0000048386082228
train-heartnet,cmd:2+3,8,2.1993238454975916e-05,0.9999876257532821,1.0000123742467177,1.0,1.0000096189917371
killua-zoldyck,cmd:2+3,8,2.1952290462534663e-05,0.9999942858122431,1.0000171425632702,0.9999951902728077,1.000004809727192
kurama,sprint,10,2.1943748168662403e-05,0.9999852706517736,1.0000049097827421,0.9999927856000578,1.000002404799981
sakura-haruno,chargeKi,4,2.1916634135976665e-05,1.0,1.0000171068838102,1.0,1.0000048097503258
allen-walker,chargeKi,4,2.164837184159829e-05,0.9999855658893098,1.0000048113702302,0.9999927857388486,1.0000024047537173
riven,cmd:FC+3,3,2.1334765504477105e-05,0.9999882840874474,1.0000117159125523,1.0,1.000009618852952
riven,cmd:qcf+3,5,2.133476550425506e-05,0.9999882840874474,1.0000117159125523,0.9999999999999998,1.0000096188529517
roronoa-zoro,chargeKi,7,2.0768988103769814e-05,0.9999999999999999,1.0000111499501039,0.9999903809620001,1.0000000000000002
gintoki-sakata,jableft,8,2.0588077128458337e-05,0.9999947672197715,1.0000156983406854,0.9999999999999998,1.000004889736443
gintoki-sakata,crouchBlock,8,2.058791283843231e-05,0.9999843018236049,1.0000052327254652,0.9999999999999998,1.0000048897364433
vegeta-super-saiyan,jabright,5,2.0251386652181402e-05,0.9999895028552236,1.0000000000000002,0.9999999999999998,1.0000097542418758
nico-robin,getupStand,7,2.024717401638565e-05,0.9999891581286929,1.000010841871307,0.9999999999999998,1.0000094053027093
kenshin-himura,cmd:2+3,12,2.0111054784499593e-05,0.9999999999999998,1.000017691756526,0.9999975807017415,1.0000024192982584
