characterId,displayName,animation,frame,status,flags,widthRatio,heightRatio,footprintToIdleHeight,scaleWidth,scaleHeight,scaleSource,offsetX,framePath,voxelPath
allen-walker,Allen Walker,idle,0,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-000.png,public/characters/allen-walker/voxels-hd/frame-000.json
allen-walker,Allen Walker,idle,1,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-001.png,public/characters/allen-walker/voxels-hd/frame-001.json
allen-walker,Allen Walker,idle,2,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-002.png,public/characters/allen-walker/voxels-hd/frame-002.json
allen-walker,Allen Walker,idle,3,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-003.png,public/characters/allen-walker/voxels-hd/frame-003.json
allen-walker,Allen Walker,idle,2,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-002.png,public/characters/allen-walker/voxels-hd/frame-002.json
allen-walker,Allen Walker,idle,1,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-001.png,public/characters/allen-walker/voxels-hd/frame-001.json
allen-walker,Allen Walker,walkForward,4,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-004.png,public/characters/allen-walker/voxels-hd/frame-004.json
allen-walker,Allen Walker,walkForward,5,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-005.png,public/characters/allen-walker/voxels-hd/frame-005.json
allen-walker,Allen Walker,walkForward,6,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-006.png,public/characters/allen-walker/voxels-hd/frame-006.json
allen-walker,Allen Walker,walkForward,7,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-007.png,public/characters/allen-walker/voxels-hd/frame-007.json
allen-walker,Allen Walker,walkForward,8,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-008.png,public/characters/allen-walker/voxels-hd/frame-008.json
allen-walker,Allen Walker,walkForward,9,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-009.png,public/characters/allen-walker/voxels-hd/frame-009.json
allen-walker,Allen Walker,walkForward,10,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-010.png,public/characters/allen-walker/voxels-hd/frame-010.json
allen-walker,Allen Walker,walkForward,11,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-011.png,public/characters/allen-walker/voxels-hd/frame-011.json
allen-walker,Allen Walker,walkBack,14,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-014.png,public/characters/allen-walker/voxels-hd/frame-014.json
allen-walker,Allen Walker,sprint,12,REVIEW,wide-body-vs-idle,3.0018,1.0000,1.0948,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-012.png,public/characters/allen-walker/voxels-hd/frame-012.json
allen-walker,Allen Walker,sprint,13,REVIEW,wide-body-vs-idle,2.8766,1.0000,1.0492,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-013.png,public/characters/allen-walker/voxels-hd/frame-013.json
allen-walker,Allen Walker,backflip,45,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-045.png,public/characters/allen-walker/voxels-hd/frame-045.json
allen-walker,Allen Walker,backflip,46,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-046.png,public/characters/allen-walker/voxels-hd/frame-046.json
allen-walker,Allen Walker,backflip,47,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-047.png,public/characters/allen-walker/voxels-hd/frame-047.json
allen-walker,Allen Walker,backflip,48,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-048.png,public/characters/allen-walker/voxels-hd/frame-048.json
allen-walker,Allen Walker,sidestepLeft,145,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-145.png,public/characters/allen-walker/voxels-hd/frame-145.json
allen-walker,Allen Walker,sidestepRight,145,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-145.png,public/characters/allen-walker/voxels-hd/frame-145.json
allen-walker,Allen Walker,jump,17,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-017.png,public/characters/allen-walker/voxels-hd/frame-017.json
allen-walker,Allen Walker,jump,18,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-018.png,public/characters/allen-walker/voxels-hd/frame-018.json
allen-walker,Allen Walker,jump,19,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-019.png,public/characters/allen-walker/voxels-hd/frame-019.json
allen-walker,Allen Walker,jump,20,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-020.png,public/characters/allen-walker/voxels-hd/frame-020.json
allen-walker,Allen Walker,jump,21,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-021.png,public/characters/allen-walker/voxels-hd/frame-021.json
allen-walker,Allen Walker,crouch,22,PASS,,0.8600,0.8600,0.8600,0.6966,0.9546,animation,0.0000,public/characters/allen-walker/frames/frame-022.png,public/characters/allen-walker/voxels-hd/frame-022.json
allen-walker,Allen Walker,block,15,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-015.png,public/characters/allen-walker/voxels-hd/frame-015.json
allen-walker,Allen Walker,crouchBlock,90,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-090.png,public/characters/allen-walker/voxels-hd/frame-090.json
allen-walker,Allen Walker,crouchBlock,91,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-091.png,public/characters/allen-walker/voxels-hd/frame-091.json
allen-walker,Allen Walker,crouchBlock,92,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-092.png,public/characters/allen-walker/voxels-hd/frame-092.json
allen-walker,Allen Walker,crouchBlock,93,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-093.png,public/characters/allen-walker/voxels-hd/frame-093.json
allen-walker,Allen Walker,crouchBlock,95,PASS,,1.0000,1.0000,1.0000,0.8100,1.1100,default,0.0000,public/characters/allen-walker/frames/frame-095.png,public/characters/allen-walker/voxels-hd/frame-095.json
