characterId,displayName,animation,frame,reason,measure,adjacentRatio,medianRatio,scaleSource,scaleWidth,scaleHeight,flags
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","cmd:3+4","101","adjacent-2.20;median-1.73","2.1989","2.1989","1.7277","frame","1.0800","1.1600","possible-two-character-crop"
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","cmd:3+4","100","adjacent-2.20;default-next-to-frame-scale","1.0000","2.1989","1.2727","default","1.0800","1.1600",""
"nico-robin","Nico Robin","sprint","37","adjacent-2.07","1.0000","2.0666","1.4993","default","0.9500","1.0800",""
"nico-robin","Nico Robin","sprint","36","adjacent-2.07","2.0666","2.0666","1.3784","default","0.9500","1.0800","wide-body-vs-idle"
"gintoki-sakata","Gintoki Sakata","sprint","35","adjacent-1.93","1.0000","1.9316","1.4837","default","0.9200","1.0800",""
"gintoki-sakata","Gintoki Sakata","sprint","36","adjacent-1.93","1.9316","1.9316","1.3019","default","0.9200","1.0800","wide-body-vs-idle"
"killua-zoldyck","Killua Zoldyck","jabright","149","adjacent-1.93;median-1.62","1.9270","1.9270","1.6199","default","0.9800","1.0800","wide-body-vs-idle"
"killua-zoldyck","Killua Zoldyck","jabright","150","adjacent-1.93","1.0000","1.9270","1.1896","default","0.9800","1.0800",""
"vegeta-super-saiyan","Vegeta (Super Saiyan)","kickright","76","adjacent-1.88;median-1.64","1.8830","1.8830","1.6364","default","1.0900","1.0300","wide-body-vs-idle"
"vegeta-super-saiyan","Vegeta (Super Saiyan)","kickright","75","adjacent-1.88","1.0000","1.8830","1.1507","default","1.0900","1.0300",""
"vegeta-super-saiyan","Vegeta (Super Saiyan)","kickright","77","adjacent-1.88","1.0000","1.8830","1.1507","default","1.0900","1.0300",""
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","sprint","39","adjacent-1.87;median-1.77","1.0000","1.8729","1.7728","default","1.0800","1.1600",""
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","sprint","38","adjacent-1.87","1.8729","1.8729","1.0565","default","1.0800","1.1600","wide-body-vs-idle"
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","cmd:3+4","98","adjacent-1.85","1.8506","1.8506","1.4540","default","1.0800","1.1600",""
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","cmd:3+4","97","adjacent-1.85","1.0000","1.8506","1.2727","default","1.0800","1.1600",""
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","cmd:3+4","99","adjacent-1.85","1.0000","1.8506","1.2727","default","1.0800","1.1600",""
"piccolo","Piccolo","sprint","34","adjacent-1.84","0.7047","1.8399","1.5393","default","0.7100","1.1400",""
"piccolo","Piccolo","sprint","33","adjacent-1.84","1.2965","1.8399","1.1953","default","0.7100","1.1400",""
"jaguar-junichi","Jaguar Junichi","sprint","39","adjacent-1.84","1.0000","1.8362","1.4298","default","1.0800","1.2800",""
"jaguar-junichi","Jaguar Junichi","sprint","38","adjacent-1.84","1.8362","1.8362","1.2842","default","1.0800","1.2800","wide-body-vs-idle"
"dio","DIO","sprint","32","adjacent-1.83","2.2482","1.8322","1.3742","default","1.0800","1.1800","wide-body-vs-idle"
"dio","DIO","sprint","33","adjacent-1.83","1.2271","1.8322","1.3332","default","1.0800","1.1800",""
"dr-mashirito","Dr. Mashirito","knockdown","29","adjacent-1.79;median-1.42","1.0000","1.7938","1.4233","default","0.9500","1.0800",""
"dr-mashirito","Dr. Mashirito","knockdown","30","adjacent-1.79","1.7938","1.7938","1.2603","default","0.9500","1.0800","huge-prone-footprint-vs-idle-height"
"dr-mashirito","Dr. Mashirito","sprint","35","adjacent-1.79","1.7937","1.7937","1.4676","default","0.9500","1.0800","wide-body-vs-idle"
"dr-mashirito","Dr. Mashirito","sprint","36","adjacent-1.79","1.0000","1.7937","1.2222","default","0.9500","1.0800",""
"franky","Franky","getupStand","33","adjacent-1.79;median-1.79","0.5577","1.7931","1.7931","frame","0.3150","0.5085",""
"franky","Franky","getupStand","52","adjacent-1.79;default-next-to-frame-scale","1.0000","1.7931","1.0000","default","0.7000","1.1300",""
"kakashi-hatake","Kakashi Hatake","getupStand","37","adjacent-1.75;median-1.75","0.9003","1.7464","1.7464","frame","0.2583","0.2163","tiny-frame-vs-animation"
"kakashi-hatake","Kakashi Hatake","getupStand","52","adjacent-1.75;default-next-to-frame-scale","1.5723","1.7464","1.0000","default","1.2300","1.0300","huge-prone-footprint-vs-idle-height|huge-frame-vs-animation"
"kenshin-himura","Kenshin Himura","cmd:2+3","99","adjacent-1.73;median-1.73","1.7298","1.7298","1.7298","default","1.0400","1.1800",""
"kenshin-himura","Kenshin Himura","cmd:2+3","98","adjacent-1.73","1.0000","1.7298","1.0000","default","1.0400","1.1800",""
"fuusuke","Fuusuke","sprint","39","adjacent-1.73;median-1.57","1.0000","1.7263","1.5716","default","0.8200","0.7300",""
"fuusuke","Fuusuke","sprint","38","adjacent-1.73","1.7263","1.7263","1.0984","default","0.8200","0.7300","wide-body-vs-idle"
"riven","Sasuke","cmd:FC+4","120","adjacent-1.72;median-1.56","1.0000","1.7158","1.5608","default","1.0800","1.0800",""
"riven","Sasuke","cmd:FC+4","94","adjacent-1.72","1.7158","1.7158","1.0993","default","1.0800","1.0800",""
"vegeta-super-saiyan","Vegeta (Super Saiyan)","cmd:1+3","128","adjacent-1.71;median-1.71","1.0000","1.7117","1.7117","default","1.0900","1.0300",""
"vegeta-super-saiyan","Vegeta (Super Saiyan)","cmd:1+3","129","adjacent-1.71","1.7117","1.7117","1.0000","default","1.0900","1.0300",""
"bobobo-bo-bo-bobo","Bobobo-bo Bo-bobo","cmd:1+2","131","adjacent-1.71","1.7110","1.7110","1.4543","frame","0.9300","1.1800",""
"bobobo-bo-bo-bobo","Bobobo-bo Bo-bobo","cmd:1+2","130","adjacent-1.71;default-next-to-frame-scale","1.0000","1.7110","1.1765","default","0.9300","1.1800",""
"pegasus-seiya","Pegasus Seiya","sprint","35","adjacent-1.71","1.0000","1.7097","1.5224","default","1.0800","1.0800",""
"pegasus-seiya","Pegasus Seiya","sprint","34","adjacent-1.71;default-next-to-frame-scale","1.7097","1.7097","1.1230","default","1.0800","1.0800","wide-body-vs-idle"
"sakura-haruno","Sakura Haruno","sprint","36","adjacent-1.70","1.6979","1.6979","1.3394","default","0.9500","1.0800","wide-body-vs-idle"
"sakura-haruno","Sakura Haruno","sprint","37","adjacent-1.70","1.6979","1.6979","1.3394","default","0.9500","1.0800","wide-body-vs-idle"
"sakura-haruno","Sakura Haruno","sprint","35","adjacent-1.70","1.0000","1.6979","1.2676","default","0.9500","1.0800",""
"sakura-haruno","Sakura Haruno","sprint","38","adjacent-1.70","1.0000","1.6979","1.2676","default","0.9500","1.0800",""
"yusuke-urameshi","Yusuke Urameshi","cmd:1+4","117","adjacent-1.70;median-1.70","1.6952","1.6952","1.6952","default","0.9500","1.1500",""
"yusuke-urameshi","Yusuke Urameshi","cmd:1+4","116","adjacent-1.70","1.0000","1.6952","1.0000","default","0.9500","1.1500",""
"yusuke-urameshi","Yusuke Urameshi","cmd:1+4","118","adjacent-1.70","1.0000","1.6952","1.0000","default","0.9500","1.1500",""
"sanji-vinsmoke","Sanji Vinsmoke","cmd:1+2","164","adjacent-1.69;median-1.69","1.0000","1.6936","1.6936","default","1.0800","1.0800",""
"sanji-vinsmoke","Sanji Vinsmoke","cmd:3+4","261","adjacent-1.69;median-1.69","1.0000","1.6936","1.6936","default","1.0800","1.0800",""
"sanji-vinsmoke","Sanji Vinsmoke","cmd:1+2","163","adjacent-1.69","1.6936","1.6936","1.0000","default","1.0800","1.0800",""
"sanji-vinsmoke","Sanji Vinsmoke","cmd:3+4","260","adjacent-1.69","1.6936","1.6936","1.0000","default","1.0800","1.0800",""
"monkey-d-luffy","Monkey D. Luffy","jableft","76","adjacent-1.69;default-next-to-frame-scale","1.2174","1.6910","1.3684","default","0.8500","1.0800",""
"monkey-d-luffy","Monkey D. Luffy","jableft","75","adjacent-1.69","2.0587","1.6910","1.2358","frame","0.8500","1.0800","wide-body-vs-idle"
"raoh","Raoh","sprint","38","adjacent-1.69","0.9226","1.6892","1.4900","default","1.0200","1.1500",""
"raoh","Raoh","sprint","37","adjacent-1.69","1.5584","1.6892","1.1337","default","1.0200","1.1500",""
"arale-norimaki","Arale Norimaki","sprint","38","adjacent-1.68","1.0000","1.6758","1.4162","default","0.8500","0.7500",""
"arale-norimaki","Arale Norimaki","sprint","37","adjacent-1.68","1.6758","1.6758","1.1833","default","0.8500","0.7500","wide-body-vs-idle"
"train-heartnet","Train Heartnet","sprint","32","adjacent-1.67;median-1.56","1.3093","1.6674","1.5583","frame","0.4644","0.5160","tiny-height-vs-idle|wide-body-vs-idle|tiny-frame-vs-animation"
"train-heartnet","Train Heartnet","sprint","33","adjacent-1.67;default-next-to-frame-scale","2.1832","1.6674","1.0700","default","1.0800","1.2000","wide-body-vs-idle"
"pegasus-seiya","Pegasus Seiya","sprint","36","adjacent-1.66","1.0000","1.6574","1.5224","default","1.0800","1.0800",""
"pegasus-seiya","Pegasus Seiya","sprint","37","adjacent-1.66","1.6574","1.6574","1.0887","default","1.0800","1.0800","wide-body-vs-idle"
"kenshin-himura","Kenshin Himura","sprint","36","adjacent-1.66","1.0000","1.6561","1.3005","default","1.0400","1.1800",""
"kenshin-himura","Kenshin Himura","sprint","39","adjacent-1.66","1.0000","1.6561","1.3005","default","1.0400","1.1800",""
"kenshin-himura","Kenshin Himura","sprint","37","adjacent-1.66","1.6561","1.6561","1.2735","default","1.0400","1.1800","wide-body-vs-idle"
"kenshin-himura","Kenshin Himura","sprint","38","adjacent-1.66","1.6561","1.6561","1.2735","default","1.0400","1.1800","wide-body-vs-idle"
"gotenks-super-saiyan","Gotenks (Super Saiyan)","sprint","33","adjacent-1.65;median-1.62","2.1036","1.6477","1.6240","default","1.0800","1.0800","wide-body-vs-idle"
"gotenks-super-saiyan","Gotenks (Super Saiyan)","sprint","34","adjacent-1.65","1.2766","1.6477","1.0146","default","1.0800","1.0800",""
"jaguar-junichi","Jaguar Junichi","sprint","34","adjacent-1.64;default-next-to-frame-scale","1.9674","1.6410","1.3759","default","1.0800","1.2800","wide-body-vs-idle"
"jaguar-junichi","Jaguar Junichi","sprint","35","adjacent-1.64","1.1989","1.6410","1.1927","default","1.0800","1.2800",""
"dio","DIO","sprint","37","adjacent-1.64;median-1.64","1.0000","1.6359","1.6359","default","1.0800","1.1800",""
"dio","DIO","sprint","36","adjacent-1.64","1.6359","1.6359","1.0000","default","1.0800","1.1800","wide-body-vs-idle"
"nami-perfect-clima-tact","Nami (Perfect Clima-Tact)","sprint","37","adjacent-1.63","1.0000","1.6344","1.3340","default","1.0800","1.0800",""
"nami-perfect-clima-tact","Nami (Perfect Clima-Tact)","sprint","36","adjacent-1.63","1.6344","1.6344","1.2252","default","1.0800","1.0800","wide-body-vs-idle"
"gon-freecss","Gon Freecss","sprint","38","adjacent-1.63","1.6287","1.6287","1.3114","default","0.9400","1.0400","wide-body-vs-idle"
"gon-freecss","Gon Freecss","sprint","39","adjacent-1.63","1.0000","1.6287","1.2420","default","0.9400","1.0400",""
"riven","Sasuke","cmd:2+4","191","adjacent-1.61","1.6098","1.6098","1.4841","frame","1.0800","1.0800",""
"riven","Sasuke","cmd:2+4","186","adjacent-1.61;default-next-to-frame-scale","1.0000","1.6098","1.0847","default","1.0800","1.0800",""
"killua-zoldyck","Killua Zoldyck","sprint","34","adjacent-1.61","2.1585","1.6054","1.3656","default","0.9800","1.0800","wide-body-vs-idle"
"killua-zoldyck","Killua Zoldyck","sprint","35","adjacent-1.61","1.3445","1.6054","1.1756","default","0.9800","1.0800",""
"lenalee-lee","Lenalee Lee","cmd:2+4","94","adjacent-1.60;median-1.60","1.6029","1.6029","1.6029","frame","0.9800","1.0700",""
"lenalee-lee","Lenalee Lee","cmd:2+4","93","adjacent-1.60;default-next-to-frame-scale","1.0000","1.6029","1.0000","default","0.9800","1.0700",""
